date,open,high,low,close,volume
2005-01-03,27.9268,28.2268,27.3968,27.4668,1208700.0
2005-01-04,27.7668,27.7668,26.6268,26.7868,2906200.0
2005-01-05,26.7868,27.0468,26.4668,26.4668,697500.0
2005-01-06,26.4968,26.9168,26.4968,26.7868,657500.0
2005-01-07,26.9468,27.0268,26.5268,26.7768,279500.0
2005-01-10,26.8268,27.2068,26.7368,27.0768,356100.0
2005-01-11,26.9968,26.9968,26.5268,26.7468,894600.0
2005-01-12,26.7768,26.9568,26.4368,26.9568,551400.0
2005-01-13,27.0068,27.0068,26.3268,26.4368,380800.0
2005-01-14,26.6768,26.7668,26.4468,26.7068,1274700.0
2005-01-18,26.7568,27.1168,26.4868,27.0068,1501400.0
2005-01-19,27.0668,27.0668,26.4868,26.4868,404100.0
2005-01-20,26.3268,26.4868,26.0968,26.2068,319500.0
2005-01-21,26.2768,26.3068,25.7068,25.7068,385200.0
2005-01-24,25.9368,26.0568,25.4068,25.4568,781100.0
2005-01-25,25.7368,25.9968,25.6468,25.7668,669900.0
2005-01-26,26.0768,26.0868,25.8468,25.9568,365100.0
2005-01-27,25.9968,26.1268,25.8468,26.0368,432000.0
2005-01-28,25.9268,26.1768,25.6468,25.8868,416200.0
2005-01-31,26.3768,26.3768,26.0468,26.2568,1177500.0
2005-02-01,26.4568,26.5668,26.1968,26.4568,491300.0
2005-02-02,26.3968,26.7468,26.3968,26.6468,325300.0
2005-02-03,26.6568,26.6568,26.2468,26.3868,427000.0
2005-02-04,26.3468,26.9568,26.3468,26.9468,789900.0
2005-02-07,27.0768,27.0868,26.8568,26.8768,284700.0
2005-02-08,26.9768,27.1468,26.8268,27.0168,444300.0
2005-02-09,27.0568,27.0568,26.3968,26.3968,216500.0
2005-02-10,26.6968,26.6968,26.3168,26.5968,454000.0
2005-02-11,26.6068,27.1568,26.4068,26.9468,436700.0
2005-02-14,27.0768,27.1568,26.9068,27.0268,458900.0
2005-02-15,27.0768,27.3268,26.8868,27.2368,3643700.0
2005-02-16,27.0668,27.2068,26.9068,27.1168,888800.0
2005-02-17,26.9768,27.2068,26.7568,26.7868,338000.0
2005-02-18,26.7668,26.8668,26.5868,26.8568,430200.0
2005-02-22,26.5168,26.8768,26.0868,26.0868,2468800.0
2005-02-23,26.5268,26.5268,26.1168,26.2768,421700.0
2005-02-24,26.3268,26.7068,26.1068,26.6968,1222200.0
2005-02-25,26.7268,27.0968,26.6268,27.0168,1239300.0
2005-02-28,27.0568,27.0568,26.5468,26.8268,561400.0
2005-03-01,26.7768,27.1468,26.7768,27.1468,1078000.0
2005-03-02,26.9668,27.3268,26.7968,27.1168,414900.0
2005-03-03,27.3168,27.3168,26.7968,27.0468,482700.0
2005-03-04,27.4168,27.4768,27.1368,27.4068,703300.0
2005-03-07,27.3668,27.7968,27.3668,27.5968,2183700.0
2005-03-08,27.5968,27.6968,27.2368,27.3068,439000.0
2005-03-09,27.3568,27.3568,26.9468,27.0268,1271500.0
2005-03-10,27.1768,27.1768,26.7268,26.9968,401400.0
2005-03-11,27.2368,27.2368,26.5168,26.6568,463500.0
2005-03-14,26.8468,26.8568,26.5368,26.8568,1064400.0
2005-03-15,27.0768,27.0768,26.5068,26.5268,283200.0
2005-03-16,26.5268,26.5268,25.9968,26.1468,469500.0
2005-03-17,26.0368,26.2268,25.9768,26.1368,325400.0
2005-03-18,26.2868,26.2868,25.7368,25.9468,240200.0
2005-03-21,25.8768,26.0168,25.6168,25.8368,226400.0
2005-03-22,25.9368,26.0968,25.4768,25.5068,585100.0
2005-03-23,25.4768,25.8268,25.4368,25.5768,747800.0
2005-03-24,25.7568,25.8868,25.5068,25.6068,812800.0
2005-03-28,25.7968,25.8468,25.5968,25.6468,3176100.0
2005-03-29,25.6468,25.8468,25.1968,25.2168,764700.0
2005-03-30,25.3668,25.9468,25.3668,25.9468,485900.0
