日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-08,3842.95,3703.36,3847.79,3652.07,115487773,210459090944.0,5.11,-3.25,-124.32,2.45
2010-01-15,3834.62,3663.42,3834.62,3578.93,142588536,259455696896.0,6.9,-1.08,-39.94,3.03
2010-01-22,3651.85,3552.99,3711.89,3471.66,122400423,225050787840.0,6.56,-3.01,-110.43,2.6
2010-01-29,3524.04,3380.68,3559.89,3340.83,85978225,150573651968.0,6.17,-4.85,-172.31,1.83
2010-02-05,3371.21,3329.5,3427.87,3269.46,86566897,149632409600.0,4.69,-1.51,-51.18,1.84
2010-02-12,3328.88,3428.98,3434.97,3299.3,51028634,92367784960.0,4.07,2.99,99.48,1.08
2010-02-26,3421.89,3465.37,3483.42,3316.5,72520351,129197801472.0,4.87,1.06,36.39,1.54
2010-03-05,3466.73,3443.84,3533.78,3424.89,80709510,141773176832.0,3.14,-0.62,-21.53,1.71
2010-03-12,3453.31,3419.01,3512.91,3418.27,65290986,117457111040.0,2.75,-0.72,-24.83,1.39
2010-03-19,3415.55,3477.59,3491.06,3347.65,61330945,108856330240.0,4.19,1.71,58.58,1.3
2010-03-26,3483.58,3466.71,3508.12,3406.93,66408059,119947020288.0,2.91,-0.31,-10.88,1.41
2010-04-02,3492.45,3622.85,3630.49,3489.77,105352187,186477152256.0,4.06,4.5,156.14,2.24
2010-04-09,3643.01,3570.86,3663.27,3528.77,75330300,140122566656.0,3.71,-1.44,-51.99,1.6
2010-04-16,3582.08,3510.15,3586.94,3489.3,100027017,186427064320.0,2.73,-1.7,-60.71,2.12
2010-04-23,3456.67,3285.67,3456.67,3232.31,117007679,210764234752.0,6.39,-6.4,-224.48,2.48
2010-04-30,3293.29,3163.11,3306.31,3100.12,86947817,155303745536.0,6.28,-3.73,-122.56,1.85
2010-05-07,3099.95,2907.68,3153.95,2878.41,73221473,122516615168.0,8.71,-8.08,-255.43,1.55
2010-05-14,2916.27,2956.2,3009.59,2836.37,81299968,131491702784.0,5.96,1.67,48.52,1.73
2010-05-21,2915.77,2892.16,2915.77,2752.13,87762852,127546681344.0,5.54,-2.17,-64.04,1.86
2010-05-28,2911.72,2966.14,3026.56,2891.14,97558982,141221990400.0,4.68,2.56,73.98,2.07
2010-06-04,2947.59,2854.63,2972.57,2805.92,66837247,99966692352.0,5.62,-3.76,-111.51,1.42
2010-06-11,2799.48,2868.16,2905.55,2773.46,78384744,112051679232.0,4.63,0.47,13.53,1.66
2010-06-18,2890.15,2811.79,2896.46,2800.22,26335015,37195171840.0,3.36,-1.97,-56.37,0.56
2010-06-25,2813.6,2849.92,2916.63,2797.05,66826509,90241013760.0,4.25,1.36,38.13,1.42
2010-07-02,2848.7,2628.37,2876.27,2546.99,65639225,82380430336.0,11.55,-7.77,-221.55,1.39
2010-07-09,2596.1,2773.87,2790.45,2561.95,64923147,87304721408.0,8.69,5.54,145.5,1.38
2010-07-16,2776.14,2763.08,2836.53,2712.72,71542933,98548809728.0,4.46,-0.39,-10.79,1.52
2010-07-23,2739.14,2965.01,2984.23,2730.36,106768524,151352180736.0,9.19,7.31,201.93,2.27
2010-07-30,2970.08,3038.05,3065.61,2941.37,103497081,150338486272.0,4.19,2.46,73.04,2.2
2010-08-06,3036.51,3065.52,3116.92,2980.34,113801565,167161335808.0,4.5,0.9,27.47,2.42
2010-08-13,3059.65,3030.74,3096.99,2962.07,96608953,147409702912.0,4.4,-1.13,-34.78,2.05
2010-08-20,3023.97,3083.58,3171.89,3016.23,114810157,184461232128.0,5.14,1.74,52.84,2.44
2010-08-27,3082.4,3040.99,3125.94,3008.29,77886045,122435870720.0,3.82,-1.38,-42.59,1.65
2010-09-03,3058.56,3107.6,3131.03,3048.85,115166355,175529660416.0,2.7,2.19,66.61,2.45
2010-09-10,3123.28,3094.28,3176.92,3042.77,113867848,183987310592.0,4.32,-0.43,-13.32,2.42
2010-09-17,3092.72,2998.46,3149.33,2967.0,100950945,159048019968.0,5.89,-3.1,-95.82,2.14
2010-09-21,3003.05,2999.97,3012.94,2966.68,23927032,36918941696.0,1.54,0.05,1.51,0.51
2010-09-30,3012.19,3084.51,3085.46,2995.9,67160646,110723778560.0,2.99,2.82,84.54,1.43
2010-10-08,3120.99,3211.92,3224.26,3113.88,32568041,55084556288.0,3.58,4.13,127.41,0.69
2010-10-15,3235.66,3490.34,3492.78,3235.66,230439895,401319436288.0,8.01,8.67,278.42,4.89
2010-10-22,3510.83,3563.3,3634.03,3444.56,226752134,398412328960.0,5.43,2.09,72.96,4.81
2010-10-29,3576.5,3568.01,3689.82,3538.32,181474177,330037129216.0,4.25,0.13,4.71,3.85
2010-11-05,3577.44,3702.47,3736.69,3577.44,187998197,350551543808.0,4.46,3.77,134.46,3.99
2010-11-12,3720.64,3438.51,3734.99,3434.23,197500174,369085767680.0,8.12,-7.13,-263.96,4.19
2010-11-19,3457.64,3342.31,3481.78,3231.72,130043514,244160626688.0,7.27,-2.8,-96.2,2.76
2010-11-26,3308.01,3410.04,3444.33,3224.21,115787695,218233589760.0,6.59,2.03,67.73,2.46
2010-12-03,3401.82,3373.16,3438.96,3277.63,96212642,188015048704.0,4.73,-1.08,-36.88,2.04
2010-12-10,3386.32,3361.32,3441.63,3306.15,95080343,171347228672.0,4.02,-0.35,-11.84,2.02
2010-12-17,3379.22,3445.41,3499.82,3376.52,108023318,202428653568.0,3.67,2.5,84.09,2.29
2010-12-24,3459.88,3394.89,3498.5,3332.16,119411625,211347818496.0,4.83,-1.47,-50.52,2.54
2010-12-31,3408.54,3357.29,3468.35,3252.93,93157185,172814944256.0,6.35,-1.11,-37.6,1.98
2011-01-07,3391.15,3411.41,3464.73,3380.76,96627625,185330958336.0,2.5,1.61,54.12,2.05
2011-01-14,3406.39,3320.4,3429.46,3309.17,81301009,151233720320.0,3.53,-2.67,-91.01,1.73
2011-01-21,3290.48,3183.54,3299.71,3133.59,83684449,143914321920.0,5.0,-4.12,-136.86,1.78
2011-01-28,3184.36,3244.55,3255.38,3107.53,81189523,136134320128.0,4.64,1.92,61.01,1.72
2011-02-01,3245.11,3285.99,3303.41,3236.99,32962175,57317914624.0,2.05,1.28,41.44,0.7
2011-02-11,3258.14,3344.92,3360.23,3211.08,58413892,104077490176.0,4.54,1.79,58.93,1.24
2011-02-18,3349.78,3418.54,3482.33,3349.78,122289026,238485950464.0,3.96,2.2,73.62,2.6
2011-02-25,3396.7,3411.25,3481.05,3351.02,98933523,185204858880.0,3.8,-0.21,-7.29,2.1
2011-03-04,3415.73,3497.76,3507.25,3393.73,122012391,226491392000.0,3.33,2.54,86.51,2.59
2011-03-11,3519.48,3488.09,3599.16,3480.42,118252860,243121086464.0,3.39,-0.28,-9.67,2.51
2011-03-18,3481.01,3484.51,3515.68,3381.83,96148432,199915655168.0,3.84,-0.1,-3.58,2.04
2011-03-25,3490.78,3580.3,3596.94,3439.64,95643035,189798934528.0,4.51,2.75,95.79,2.03
2011-04-01,3599.08,3547.05,3624.12,3470.95,100132527,196898979840.0,4.28,-0.93,-33.25,2.13
2011-04-08,3544.46,3620.55,3621.66,3537.4,68440466,134148837376.0,2.38,2.07,73.5,1.45
2011-04-15,3632.35,3592.84,3656.09,3532.28,100325556,194625945600.0,3.42,-0.77,-27.71,2.13
2011-04-22,3579.67,3524.75,3607.73,3508.26,90254743,167804493824.0,2.77,-1.9,-68.09,1.92
2011-04-29,3520.06,3420.98,3520.06,3374.03,73454667,146265913344.0,4.14,-2.94,-103.77,1.56
2011-05-06,3419.98,3324.78,3438.06,3282.77,49045144,95613386752.0,4.54,-2.81,-96.2,1.04
2011-05-13,3326.44,3338.2,3377.49,3285.77,55357978,96980736000.0,2.76,0.4,13.42,1.18
2011-05-20,3329.25,3348.31,3389.26,3293.71,54486779,96610904064.0,2.86,0.3,10.11,1.16
2011-05-27,3341.14,3180.29,3342.22,3178.02,51486590,88174547968.0,4.9,-5.02,-168.02,1.09
2011-06-03,3174.87,3222.58,3242.54,3146.15,53001414,93626729472.0,3.03,1.33,42.29,1.13
2011-06-10,3215.1,3187.28,3241.22,3145.35,40629837,67799855104.0,2.97,-1.1,-35.3,0.86
2011-06-17,3161.25,3139.83,3235.94,3137.45,59689600,95328975872.0,3.09,-1.49,-47.45,1.27
2011-06-24,3136.92,3308.38,3334.21,3111.33,74537779,125255026688.0,7.1,5.37,168.55,1.58
2011-07-01,3308.07,3340.45,3362.82,3279.61,84447434,141922201600.0,2.52,0.97,32.07,1.79
2011-07-08,3357.13,3410.2,3450.97,3357.13,98809302,168982804480.0,2.81,2.09,69.75,2.1
2011-07-15,3398.43,3439.73,3450.93,3371.96,85661375,149842503680.0,2.32,0.87,29.53,1.82
2011-07-22,3442.03,3380.16,3448.93,3367.61,72174841,124765677568.0,2.36,-1.73,-59.57,1.53
2011-07-29,3365.62,3275.02,3365.62,3251.59,77810169,116774633472.0,3.37,-3.11,-105.14,1.65
2011-08-05,3272.94,3217.68,3298.61,3173.38,62428840,100844388352.0,3.82,-1.75,-57.34,1.33
2011-08-12,3179.44,3222.96,3246.53,3011.75,98313793,154559272960.0,7.3,0.16,5.28,2.09
2011-08-19,3232.2,3134.92,3287.4,3104.2,67967993,107202912256.0,5.68,-2.73,-88.04,1.44
2011-08-26,3135.22,3217.16,3223.52,3077.24,63924843,99999910912.0,4.67,2.62,82.24,1.36
2011-09-02,3191.54,3115.34,3216.91,3101.85,52853471,82846559232.0,3.58,-3.16,-101.82,1.12
2011-09-09,3089.84,3025.46,3089.84,2988.56,46722530,69837234176.0,3.25,-2.89,-89.88,0.99
2011-09-16,2982.02,3001.2,3021.61,2935.04,33077228,49108376576.0,2.86,-0.8,-24.26,0.7
2011-09-23,2984.75,2917.26,3045.45,2875.55,56960769,80824379392.0,5.66,-2.8,-83.94,1.21
2011-09-30,2887.3,2845.43,2928.66,2833.62,50396677,69143341056.0,3.26,-2.46,-71.83,1.07
2011-10-14,2852.15,2879.8,2904.67,2743.45,63516844,85784005632.0,5.67,1.21,34.37,1.35
2011-10-21,2886.56,2705.99,2919.56,2698.88,49454746,67753889792.0,7.66,-6.04,-173.81,1.05
2011-10-28,2715.0,2938.41,2958.66,2697.21,84981228,108297270272.0,9.66,8.59,232.42,1.8
2011-11-04,2933.97,2978.99,3001.15,2859.7,96994024,128459905024.0,4.81,1.38,40.58,2.06
2011-11-11,2967.02,2902.21,2983.19,2892.25,60895177,83418509312.0,3.05,-2.58,-76.78,1.29
2011-11-18,2927.51,2808.78,2975.18,2802.47,63608744,90277134336.0,5.95,-3.22,-93.43,1.35
2011-11-25,2810.05,2766.15,2815.88,2749.41,46885674,63262344192.0,2.37,-1.52,-42.63,1.0
2011-12-02,2773.57,2747.84,2829.32,2699.92,63559820,81950212096.0,4.68,-0.66,-18.31,1.35
2011-12-09,2750.3,2673.21,2751.17,2665.25,44914150,56624976896.0,3.13,-2.72,-74.63,0.95
2011-12-16,2668.76,2569.32,2671.77,2504.81,49712790,59269587968.0,6.25,-3.89,-103.89,1.06
2011-12-23,2549.48,2560.79,2595.77,2478.28,56628871,63011028992.0,4.57,-0.33,-8.53,1.2
2011-12-30,2546.92,2539.83,2570.6,2445.48,50233367,59003257856.0,4.89,-0.82,-20.96,1.07
2012-01-06,2556.21,2475.4,2563.4,2433.47,35696398,41960055808.0,5.12,-2.54,-64.43,0.76
2012-01-13,2476.94,2601.28,2677.41,2453.2,89517892,116011412224.0,9.06,5.09,125.88,1.9
2012-01-20,2580.09,2723.62,2730.56,2517.57,87003413,119874697216.0,8.19,4.7,122.34,1.85
2012-02-03,2730.55,2724.03,2732.87,2640.18,64291260,88582182912.0,3.4,0.02,0.41,1.36
2012-02-10,2729.56,2760.94,2793.34,2658.7,81007084,111231352320.0,4.94,1.35,36.91,1.72
