date,close
2011-03-08,130.76
2011-03-09,130.92
2011-03-10,130.82
2011-03-11,130.77
2011-03-14,131.06
2011-03-15,131.36
2011-03-16,131.35
2011-03-17,131.39
2011-03-18,131.45
2011-03-21,131.04
2011-03-22,131.07
2011-03-23,131.12
2011-03-24,131.22
2011-03-25,131.33
2011-03-28,131.41
2011-03-29,131.21
2011-03-30,131.25
2011-03-31,131.32
2011-04-01,131.33
2011-04-06,131.33
2011-04-07,131.34
2011-04-08,131.43
2011-04-11,131.51
2011-04-12,131.72
2011-04-13,131.8
2011-04-14,131.77
2011-04-15,131.81
2011-04-18,131.7
2011-04-19,131.76
2011-04-20,131.77
2011-04-21,131.82
2011-04-22,131.84
2011-04-25,131.83
2011-04-26,131.84
2011-04-27,131.87
2011-04-28,131.99
2011-04-29,132.22
2011-05-03,132.06
2011-05-04,132.1
2011-05-05,132.1
2011-05-06,132.26
2011-05-09,132.33
2011-05-10,132.34
2011-05-11,132.36
2011-05-12,132.4
2011-05-13,132.38
2011-05-16,132.36
2011-05-17,132.39
2011-05-18,132.42
2011-05-19,132.42
2011-05-20,132.46
2011-05-23,132.49
2011-05-24,132.47
2011-05-25,132.44
2011-05-26,132.53
2011-05-27,132.59
2011-05-30,132.6
2011-05-31,132.6
2011-06-01,132.55
2011-06-02,132.53
2011-06-03,132.55
2011-06-07,132.57
2011-06-08,132.42
2011-06-09,132.17
2011-06-10,132.15
2011-06-13,132.12
2011-06-14,131.92
2011-06-15,131.46
2011-06-16,131.4
2011-06-17,131.49
2011-06-20,131.82
2011-06-21,131.96
2011-06-22,131.73
2011-06-23,131.58
2011-06-24,132.07
2011-06-27,132.04
2011-06-28,131.98
2011-06-29,131.98
2011-06-30,131.94
2011-07-01,132.04
2011-07-04,132.14
2011-07-05,132.09
2011-07-06,132.07
2011-07-07,132.08
2011-07-08,132.09
2011-07-11,132.07
2011-07-12,132.05
2011-07-13,132.0
2011-07-14,131.88
2011-07-15,131.9
2011-07-18,131.76
2011-07-19,131.19
2011-07-20,130.78
2011-07-21,130.57
2011-07-22,130.78
2011-07-25,130.8
2011-07-26,130.72
2011-07-27,130.78
2011-07-28,130.84
2011-07-29,130.82
2011-08-01,130.75
2011-08-02,130.89
2011-08-03,130.28
2011-08-04,130.5
2011-08-05,130.94
2011-08-08,131.17
2011-08-09,131.41
2011-08-10,131.32
2011-08-11,131.69
2011-08-12,131.62
2011-08-15,131.7
2011-08-16,131.72
2011-08-17,131.66
2011-08-18,131.64
2011-08-19,131.78
2011-08-22,131.89
2011-08-23,131.82
2011-08-24,131.79
2011-08-25,131.65
2011-08-26,131.55
2011-08-29,130.78
2011-08-30,130.59
2011-08-31,130.73
2011-09-01,130.88
2011-09-02,131.08
2011-09-05,131.23
2011-09-06,131.44
2011-09-07,131.28
2011-09-08,131.17
2011-09-09,131.29
2011-09-13,131.49
2011-09-14,131.43
2011-09-15,131.4
2011-09-16,131.34
