date,close
2013-11-24,1000.0
2013-12-31,1000.0
2014-01-01,997.17
2014-01-02,997.17
2014-01-03,983.88
2014-01-06,954.21
2014-01-07,953.04
2014-01-08,951.02
2014-01-09,939.02
2014-01-10,936.17
2014-01-13,934.45
2014-01-14,947.29
2014-01-15,947.57
2014-01-16,952.23
2014-01-17,940.85
2014-01-20,934.08
2014-01-21,947.03
2014-01-22,969.09
2014-01-23,970.78
2014-01-24,978.73
2014-01-27,970.28
2014-01-28,968.21
2014-01-29,975.14
2014-01-30,967.51
2014-02-07,975.51
2014-02-10,997.44
2014-02-11,1001.92
2014-02-12,1004.3
2014-02-13,994.62
2014-02-14,1008.69
2014-02-17,1015.52
2014-02-18,1007.81
2014-02-19,1014.53
2014-02-20,1012.22
2014-02-21,996.38
2014-02-24,976.19
2014-02-25,954.34
2014-02-26,958.82
2014-02-27,959.99
2014-02-28,970.77
2014-03-03,987.66
2014-03-04,978.48
2014-03-05,973.85
2014-03-06,969.54
2014-03-07,963.15
2014-03-10,930.87
2014-03-11,931.76
2014-03-12,933.15
2014-03-13,944.71
2014-03-14,937.05
2014-03-17,949.64
2014-03-18,956.34
2014-03-19,956.34
2014-03-20,938.99
2014-03-21,966.14
2014-03-24,975.59
2014-03-25,986.33
2014-03-26,981.75
2014-03-27,972.69
2014-03-28,972.07
2014-03-31,970.82
2014-04-01,979.12
2014-04-02,989.44
2014-04-03,979.35
2014-04-04,987.56
2014-04-08,1004.01
2014-04-09,1005.88
2014-04-10,1023.58
2014-04-11,1023.43
2014-04-14,1023.15
2014-04-15,1009.39
2014-04-16,1011.26
2014-04-17,1007.23
2014-04-18,1005.4
2014-04-21,989.67
2014-04-22,990.63
2014-04-23,992.51
2014-04-24,986.23
2014-04-25,977.01
2014-04-28,961.41
2014-04-29,973.58
2014-04-30,976.91
2014-05-05,980.21
2014-05-06,980.42
2014-05-07,970.85
2014-05-08,971.6
2014-05-09,966.49
2014-05-12,991.33
2014-05-13,988.72
2014-05-14,987.28
2014-05-15,975.44
2014-05-16,981.07
2014-05-19,976.79
2014-05-20,973.21
2014-05-21,981.3
2014-05-22,979.72
2014-05-23,987.06
2014-05-26,988.64
2014-05-27,983.66
2014-05-28,989.53
2014-05-29,984.4
2014-05-30,988.08
2014-06-03,988.13
2014-06-04,977.62
2014-06-05,986.59
2014-06-06,980.69
2014-06-09,981.28
2014-06-10,990.35
2014-06-11,991.4
2014-06-12,985.88
2014-06-13,992.5
2014-06-16,1000.54
2014-06-17,988.31
2014-06-18,981.54
2014-06-19,967.28
2014-06-20,972.01
2014-06-23,968.04
2014-06-24,973.43
2014-06-25,969.65
2014-06-26,979.02
2014-06-27,986.05
2014-06-30,994.71
2014-07-01,994.3
2014-07-02,1002.35
2014-07-03,1014.0
2014-07-04,1013.46
2014-07-07,1011.33
2014-07-08,1017.69
2014-07-09,1006.23
2014-07-10,1009.57
2014-07-11,1017.31
2014-07-14,1037.8
2014-07-15,1038.11
2014-07-16,1040.22
2014-07-17,1038.56
2014-07-18,1041.29
2014-07-21,1043.53
2014-07-22,1054.52
2014-07-23,1060.02
2014-07-24,1073.28
2014-07-25,1081.78
2014-07-28,1099.53
2014-07-29,1102.77
2014-07-30,1093.8
2014-07-31,1104.04
2014-08-01,1102.37
2014-08-04,1122.82
2014-08-05,1126.47
2014-08-06,1124.24
2014-08-07,1107.17
2014-08-08,1107.62
2014-08-11,1124.57
2014-08-12,1122.89
2014-08-13,1123.94
2014-08-14,1118.16
2014-08-15,1128.51
2014-08-18,1140.39
2014-08-19,1138.01
2014-08-20,1138.64
2014-08-21,1133.62
2014-08-22,1144.58
2014-08-25,1139.45
2014-08-26,1134.25
2014-08-27,1136.6
2014-08-28,1127.72
2014-08-29,1142.98
2014-09-01,1156.1
2014-09-02,1170.79
2014-09-03,1180.26
2014-09-04,1190.46
2014-09-05,1207.53
2014-09-09,1206.69
2014-09-10,1200.98
2014-09-11,1199.16
2014-09-12,1207.54
2014-09-15,1214.08
2014-09-16,1184.6
2014-09-17,1188.33
2014-09-18,1192.05
2014-09-19,1200.19
2014-09-22,1180.35
2014-09-23,1192.92
2014-09-24,1206.88
2014-09-25,1209.06
2014-09-26,1210.22
2014-09-29,1216.41
2014-09-30,1217.17
2014-10-08,1225.6
2014-10-09,1228.54
2014-10-10,1216.53
2014-10-13,1207.79
2014-10-14,1207.02
2014-10-15,1210.03
2014-10-16,1197.11
2014-10-17,1189.09
2014-10-20,1200.7
2014-10-21,1196.86
2014-10-22,1192.0
2014-10-23,1174.97
2014-10-24,1175.75
2014-10-27,1169.19
2014-10-28,1193.43
2014-10-29,1213.55
2014-10-30,1232.39
2014-10-31,1240.61
2014-11-03,1249.98
2014-11-04,1250.55
2014-11-05,1251.35
2014-11-06,1251.93
2014-11-07,1243.9
2014-11-10,1274.7
2014-11-11,1254.27
2014-11-12,1280.17
2014-11-13,1274.38
2014-11-14,1275.14
2014-11-17,1279.06
2014-11-18,1269.74
2014-11-19,1265.86
2014-11-20,1264.4
2014-11-21,1279.5
2014-11-24,1303.62
2014-11-25,1324.52
2014-11-26,1326.75
2014-11-27,1330.53
2014-11-28,1334.25
2014-12-01,1333.71
2014-12-02,1356.87
2014-12-03,1376.26
2014-12-04,1416.3
2014-12-05,1388.13
2014-12-08,1440.9
2014-12-09,1402.78
2014-12-10,1470.69
2014-12-11,1478.92
2014-12-12,1483.88
2014-12-15,1490.29
2014-12-16,1502.59
2014-12-17,1499.33
2014-12-18,1507.89
2014-12-19,1555.66
2014-12-22,1576.93
2014-12-23,1502.06
2014-12-24,1477.55
2014-12-25,1520.3
2014-12-26,1547.13
2014-12-29,1555.26
2014-12-30,1540.25
2014-12-31,1573.62
2015-01-01,1652.37
2015-01-05,1652.37
2015-01-06,1657.09
2015-01-07,1656.89
2015-01-08,1618.04
2015-01-09,1593.3
2015-01-12,1556.19
2015-01-13,1561.25
2015-01-14,1552.55
2015-01-15,1591.39
2015-01-16,1598.8
2015-01-19,1472.82
2015-01-20,1504.38
2015-01-21,1553.82
2015-01-22,1566.64
2015-01-23,1571.8
2015-01-26,1605.04
2015-01-27,1586.79
2015-01-28,1570.27
2015-01-29,1568.27
2015-01-30,1545.4
2015-02-02,1512.12
2015-02-03,1540.56
2015-02-04,1533.27
2015-02-05,1501.29
2015-02-06,1458.53
2015-02-09,1453.82
2015-02-10,1482.83
2015-02-11,1485.12
2015-02-12,1501.86
2015-02-13,1517.0
2015-02-16,1532.47
2015-02-17,1549.15
2015-02-25,1537.91
2015-02-26,1572.25
2015-02-27,1577.6
2015-03-02,1597.91
2015-03-03,1557.23
2015-03-04,1569.41
2015-03-05,1547.75
2015-03-06,1544.43
2015-03-09,1564.57
2015-03-10,1566.97
2015-03-11,1568.06
2015-03-12,1597.88
2015-03-13,1615.05
2015-03-16,1654.72
2015-03-17,1680.44
2015-03-18,1718.24
2015-03-19,1719.68
2015-03-20,1723.05
2015-03-23,1756.09
2015-03-24,1767.93
2015-03-25,1757.38
2015-03-26,1753.54
2015-03-27,1751.44
2015-03-30,1804.98
2015-03-31,1788.75
2015-04-01,1821.06
2015-04-02,1834.07
2015-04-03,1866.73
2015-04-07,1911.39
2015-04-08,1897.82
2015-04-09,1861.71
