日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3785.28,3709.03,3791.48,3708.94,27027344,32803006464.0,2.19,-1.56,-58.86,0.11
2010-01-05,3721.36,3736.77,3759.45,3664.44,35432827,46288793600.0,2.56,0.75,27.74,0.15
2010-01-06,3727.09,3701.87,3753.99,3701.11,32034155,44244914176.0,1.42,-0.93,-34.9,0.13
2010-01-07,3702.63,3620.61,3721.72,3601.28,33311731,43936301056.0,3.25,-2.2,-81.26,0.14
2010-01-08,3606.26,3624.9,3629.13,3572.0,24588664,32461662208.0,1.58,0.12,4.29,0.1
2010-01-11,3767.65,3617.89,3767.65,3599.59,39238816,47910301696.0,4.64,-0.19,-7.01,0.16
2010-01-12,3609.82,3664.63,3665.64,3555.53,41081306,50811920384.0,3.04,1.29,46.74,0.17
2010-01-13,3568.29,3509.45,3590.43,3503.51,53387317,65889943552.0,2.37,-4.23,-155.18,0.22
2010-01-14,3524.11,3548.84,3549.78,3489.76,33528998,42281771008.0,1.71,1.12,39.39,0.14
2010-01-15,3547.74,3558.95,3581.06,3516.45,28757105,36577062912.0,1.82,0.28,10.11,0.12
2010-01-18,3545.08,3568.75,3569.82,3531.73,31689252,38507700224.0,1.07,0.28,9.8,0.13
2010-01-19,3574.65,3588.01,3613.38,3573.67,33010452,41924542464.0,1.11,0.54,19.26,0.14
2010-01-20,3595.85,3467.83,3600.22,3461.31,36908498,44902932480.0,3.87,-3.35,-120.18,0.15
2010-01-21,3474.09,3491.76,3510.91,3446.06,29608514,37545717760.0,1.87,0.69,23.93,0.12
2010-01-22,3447.68,3491.74,3522.44,3394.26,42459833,50980691968.0,3.67,0.0,-0.02,0.18
2010-01-25,3453.95,3434.63,3495.91,3432.33,23591563,28170952704.0,1.82,-1.64,-57.11,0.1
2010-01-26,3433.15,3368.97,3447.09,3347.32,25563905,30213617664.0,2.9,-1.91,-65.66,0.11
2010-01-27,3371.9,3310.47,3382.67,3296.38,23492741,27794640896.0,2.56,-1.74,-58.5,0.1
2010-01-28,3309.09,3297.0,3320.51,3270.5,19739827,22999617536.0,1.51,-0.41,-13.47,0.08
2010-01-29,3280.82,3287.84,3336.27,3267.25,19631717,22939875328.0,2.09,-0.28,-9.16,0.08
2010-02-01,3279.07,3230.13,3279.38,3192.89,21558026,24581730304.0,2.63,-1.76,-57.71,0.09
2010-02-02,3251.03,3239.17,3304.28,3234.64,19418827,23315009536.0,2.16,0.28,9.04,0.08
2010-02-03,3257.82,3342.66,3343.35,3196.62,26573918,31716638720.0,4.53,3.19,103.49,0.11
2010-02-04,3313.63,3315.07,3340.57,3295.96,18662073,22655350784.0,1.33,-0.83,-27.59,0.08
2010-02-05,3243.23,3245.86,3271.89,3222.3,18695973,21721640960.0,1.5,-2.09,-69.21,0.08
2010-02-08,3245.58,3230.54,3263.58,3215.23,12151926,14633616384.0,1.49,-0.47,-15.32,0.05
2010-02-09,3228.69,3257.19,3264.39,3225.82,14405643,15597697024.0,1.19,0.82,26.65,0.06
