date,600519.SS,000858.SZ,600887.SS,002714.SZ,601318.SS,600036.SS,002415.SZ,300750.SZ,600276.SS,300760.SZ,601012.SS,300274.SZ,000333.SZ,600690.SS,002594.SZ,600893.SS,601668.SS,600585.SS,601899.SS,600028.SS,002371.SZ,000063.SZ,600941.SS,002230.SZ,600900.SS,601088.SS,601006.SS,001979.SZ
2021-03-21,1764.3651123046875,228.28086853027344,33.63335418701172,63.64141082763672,63.03034591674805,40.26543426513672,47.177249908447266,163.04327392578125,74.63536834716797,351.1148986816406,39.7184944152832,45.580204010009766,67.205810546875,25.887197494506836,55.3520622253418,45.99115753173828,4.080076694488525,39.84990692138672,9.027645111083984,3.0775930881500244,103.99510192871094,27.35170555114746,,47.02943420410156,17.50935173034668,12.277383804321289,4.966280460357666,10.53161334991455
2021-03-28,1894.96142578125,244.25494384765625,33.733299255371094,69.05354309082031,62.140140533447266,39.75821304321289,49.91600799560547,172.80653381347656,75.82992553710938,370.70770263671875,43.901729583740234,50.41935729980469,71.38516998291016,28.024110794067383,56.931793212890625,45.037109375,4.12770414352417,39.84990692138672,9.228055953979492,3.1356611251831055,120.7578353881836,27.463043212890625,,48.007568359375,17.75311851501465,13.394742965698242,4.9734978675842285,10.346702575683594
2021-04-04,1770.50048828125,227.72293090820312,33.15025329589844,66.80392456054688,60.78515625,39.21197509765625,49.0413703918457,162.20106506347656,74.61901092529297,366.2051086425781,41.373023986816406,46.98933029174805,65.92741394042969,27.928173065185547,53.96979904174805,43.355228424072266,4.080076694488525,39.329750061035156,9.373809814453125,3.1864705085754395,117.2656021118164,26.266176223754883,,45.91298294067383,17.526161193847656,13.211902618408203,4.9734978675842285,10.170193672180176
2021-04-11,1801.1597900390625,224.71865844726562,32.50057601928711,65.8714599609375,59.635013580322266,38.81400680541992,50.384239196777344,173.55514526367188,65.9625473022461,365.84136962890625,42.15336227416992,45.40835952758789,65.4767074584961,27.448455810546875,53.51012420654297,41.16189193725586,4.143580436706543,39.12013626098633,9.319151878356934,3.2300209999084473,111.10456085205078,26.31256675720215,,45.745018005371094,17.206741333007812,13.421829223632812,4.987935543060303,10.237434387207031
2021-04-18,1848.454833984375,240.3408203125,33.74163055419922,72.47687530517578,58.500606536865234,41.59200668334961,55.86174774169922,193.13365173339844,67.90984344482422,395.9490966796875,45.43278121948242,54.26182174682617,68.72185516357422,28.32066535949707,54.788795471191406,41.8602180480957,4.040388107299805,38.85618209838867,9.820181846618652,3.0703346729278564,120.5519790649414,27.082643508911133,,49.87491226196289,17.131086349487305,13.23898983001709,4.872440814971924,9.985280990600586
2021-04-25,1758.913330078125,244.63262939453125,34.10811233520508,73.75492095947266,58.191436767578125,41.123802185058594,55.46418762207031,201.7999725341797,68.80985260009766,424.19219970703125,49.092498779296875,61.79551315307617,65.69796752929688,28.896326065063477,51.331520080566406,37.26700210571289,3.9213192462921143,38.06430435180664,10.047922134399414,3.1066269874572754,121.76507568359375,26.859970092773438,,50.35904312133789,16.786447525024414,13.008746147155762,4.966280460357666,9.766749382019043
2021-05-02,1667.95166015625,233.55979919433594,32.159080505371094,69.17743682861328,56.26510238647461,42.27870559692383,52.40738296508789,190.93978881835938,65.44708251953125,387.4989013671875,47.77381134033203,56.6607780456543,61.52679443359375,27.038515090942383,46.59880447387695,37.876808166503906,3.9610087871551514,39.00368881225586,10.858678817749023,3.1937286853790283,119.32418060302734,26.10844612121582,,48.136009216308594,16.60992431640625,13.557266235351562,5.002372741699219,9.741533279418945
2021-05-09,1761.6041259765625,246.34934997558594,32.708805084228516,65.17376708984375,57.131961822509766,42.90297317504883,53.61774444580078,186.63522338867188,68.58893585205078,409.474853515625,47.31449890136719,56.158992767333984,62.641292572021484,25.119651794433594,49.69999694824219,41.2110710144043,3.9848227500915527,38.68538284301758,10.075250625610352,3.1864705085754395,120.39022827148438,26.9805850982666,,53.31319808959961,16.5174617767334,13.516636848449707,5.117867469787598,9.850800514221191
2021-05-16,1789.87060546875,254.58963012695312,32.483917236328125,64.5086441040039,56.22498321533203,42.224082946777344,56.54202651977539,195.24954223632812,67.2307357788086,437.1539306640625,48.68257141113281,61.28684616088867,66.828857421875,26.262250900268555,56.06747817993164,41.397945404052734,3.9054431915283203,38.134178161621094,9.856620788574219,3.1646945476531982,124.18389892578125,26.637296676635742,,53.540443420410156,16.475431442260742,13.306706428527832,5.002372741699219,9.598645210266113
2021-05-23,1954.562255859375,272.0143127441406,33.78327560424805,58.920467376708984,58.568687438964844,45.64976119995117,56.54202651977539,212.94090270996094,70.2416763305664,440.72869873046875,48.030635833740234,62.26292419433594,67.63194274902344,26.759408950805664,58.81258010864258,49.95489501953125,3.8895680904388428,38.079830169677734,10.193676948547363,3.2445380687713623,137.5940704345703,29.10525894165039,,61.19754409790039,16.534271240234375,13.496319770812988,5.002372741699219,9.817179679870605
2021-05-30,1973.4066162109375,270.64093017578125,32.96701431274414,61.89387893676758,56.86708450317383,44.89283752441406,54.677268981933594,224.69528198242188,67.62348175048828,442.66424560546875,47.23053741455078,59.07069396972656,63.698421478271484,25.76508903503418,61.3116569519043,50.289310455322266,3.881629705429077,37.48204803466797,9.874839782714844,3.2590551376342773,153.65838623046875,30.617582321166992,,58.24338912963867,16.702390670776367,13.7333345413208,4.930188179016113,9.607050895690918
2021-06-06,1909.695068359375,258.85565185546875,31.867557525634766,58.24333190917969,55.70325469970703,43.9564323425293,55.46451187133789,234.97320556640625,71.63424682617188,429.6823425292969,54.08076477050781,67.38052368164062,61.87712097167969,24.282331466674805,73.48983001708984,51.066314697265625,3.9054431915283203,37.33454132080078,10.02059268951416,3.382449150085449,161.0692596435547,30.107290267944336,,57.00836944580078,17.39167022705078,13.936490058898926,4.663106441497803,9.422139167785645
2021-06-13,1832.67822265625,249.78282165527344,32.08537673950195,53.003292083740234,52.25189971923828,42.676673889160156,53.63060760498047,233.94386291503906,70.30897521972656,416.8741149902344,52.613914489746094,68.495849609375,61.70988464355469,22.947853088378906,79.31021881103516,53.1022834777832,3.8340020179748535,33.21989822387695,8.900111198425293,3.1719536781311035,191.45541381835938,31.68456268310547,,65.40802764892578,16.8789119720459,13.43537425994873,4.6991987228393555,9.144769668579102
2021-06-20,1833.607177734375,257.43939208984375,31.821683883666992,54.28315734863281,53.520076751708984,44.01105499267578,56.815338134765625,247.58018493652344,66.98249053955078,428.4755554199219,59.57477951049805,76.06901550292969,61.18309020996094,23.16590118408203,79.30699157714844,51.75480651855469,3.9054431915283203,34.20912551879883,9.246275901794434,3.299509048461914,194.09478759765625,29.995954513549805,,62.7413444519043,17.349637985229492,13.760420799255371,4.749727249145508,9.262441635131836
