date,close
2011-03-02,123.0
2011-03-03,123.02
2011-03-04,123.05
2011-03-07,123.12
2011-03-08,123.16
2011-03-09,123.16
2011-03-10,123.2
2011-03-11,123.16
2011-03-14,123.19
2011-03-15,123.24
2011-03-16,123.26
2011-03-17,123.26
2011-03-18,123.26
2011-03-21,123.28
2011-03-22,123.3
2011-03-23,123.31
2011-03-24,123.32
2011-03-25,123.33
2011-03-28,123.35
2011-03-29,123.37
2011-03-30,123.38
2011-03-31,123.38
2011-04-01,123.4
2011-04-06,123.44
2011-04-07,123.45
2011-04-08,123.46
2011-04-11,123.49
2011-04-12,123.5
2011-04-13,123.52
2011-04-14,123.53
2011-04-15,123.55
2011-04-18,123.57
2011-04-19,123.58
2011-04-20,123.6
2011-04-21,123.61
2011-04-22,123.61
2011-04-25,123.64
2011-04-26,123.64
2011-04-27,123.66
2011-04-28,123.67
2011-04-29,123.69
2011-05-03,123.74
2011-05-04,123.74
2011-05-05,123.77
2011-05-06,123.79
2011-05-09,123.82
2011-05-10,123.83
2011-05-11,123.84
2011-05-12,123.85
2011-05-13,123.85
2011-05-16,123.87
2011-05-17,123.88
2011-05-18,123.89
2011-05-19,123.9
2011-05-20,123.91
2011-05-23,123.93
2011-05-24,123.94
2011-05-25,123.94
2011-05-26,123.96
2011-05-27,123.98
2011-05-30,124.0
2011-05-31,124.01
2011-06-01,124.02
2011-06-02,124.03
2011-06-03,124.05
2011-06-07,124.08
2011-06-08,124.09
2011-06-09,124.09
2011-06-10,124.1
2011-06-13,124.13
2011-06-14,124.12
2011-06-15,124.04
2011-06-16,123.98
2011-06-17,123.96
2011-06-20,124.0
2011-06-21,124.0
2011-06-22,124.0
2011-06-23,124.0
2011-06-24,124.01
2011-06-27,124.08
2011-06-28,124.1
2011-06-29,124.11
2011-06-30,124.12
2011-07-01,124.15
2011-07-04,124.23
2011-07-05,124.23
2011-07-06,124.24
2011-07-07,124.24
2011-07-08,124.26
2011-07-11,124.3
2011-07-12,124.31
2011-07-13,124.3
2011-07-14,124.28
2011-07-15,124.3
2011-07-18,124.33
2011-07-19,124.33
2011-07-20,124.31
2011-07-21,124.25
2011-07-22,124.26
2011-07-25,124.3
2011-07-26,124.31
2011-07-27,124.32
2011-07-28,124.33
2011-07-29,124.34
2011-08-01,124.61
2011-08-02,124.64
2011-08-03,124.66
2011-08-04,124.71
2011-08-05,124.74
2011-08-08,124.83
2011-08-09,124.84
2011-08-10,124.89
2011-08-11,124.89
2011-08-12,124.9
2011-08-15,124.95
2011-08-16,124.96
2011-08-17,124.98
2011-08-18,125.0
2011-08-19,125.02
2011-08-22,125.05
2011-08-23,125.06
2011-08-24,125.06
2011-08-25,125.06
2011-08-26,125.09
2011-08-29,125.07
2011-08-30,124.98
2011-08-31,125.05
2011-09-01,125.08
2011-09-02,125.08
2011-09-05,125.05
2011-09-06,125.07
2011-09-07,125.08
2011-09-08,125.09
2011-09-09,125.1
2011-09-13,125.18
2011-09-14,125.17
2011-09-15,125.22
2011-09-16,125.23
2011-09-19,125.23
2011-09-20,125.27
2011-09-21,125.28
2011-09-22,125.3
2011-09-23,125.38
2011-09-26,125.44
2011-09-27,125.49
2011-09-28,125.48
2011-09-29,125.52
2011-09-30,125.54
2011-10-10,125.73
2011-10-11,125.73
2011-10-12,125.78
2011-10-13,125.8
2011-10-14,125.85
2011-10-17,125.9
2011-10-18,125.96
2011-10-19,126.0
2011-10-20,126.05
2011-10-21,126.06
2011-10-24,126.09
2011-10-25,126.09
2011-10-26,126.1
2011-10-27,126.11
2011-10-28,126.12
2011-10-31,126.16
2011-11-01,126.18
2011-11-02,126.2
2011-11-03,126.24
2011-11-04,126.26
2011-11-07,126.31
2011-11-08,126.35
2011-11-09,126.45
2011-11-10,126.5
2011-11-11,126.54
2011-11-14,126.58
2011-11-15,126.58
2011-11-16,126.58
2011-11-17,126.59
2011-11-18,126.59
2011-11-21,126.61
2011-11-22,126.62
2011-11-23,126.62
2011-11-24,126.63
2011-11-25,126.64
2011-11-28,126.67
2011-11-29,126.68
2011-11-30,126.69
2011-12-01,126.79
2011-12-02,126.83
2011-12-05,126.89
2011-12-06,126.87
2011-12-07,126.88
