strategy,cagr,sharpe,mdd,calmar,years,start,end,pct_in_market,trades,bh_cagr,bh_sharpe,bh_mdd
M1>8% | 中证500 [FULL],-0.28,0.053,-40.24,-0.007,13.6,2012-01-05,2026-01-30,29.5,5.0,7.36,0.412,-65.2
M1>8% | 中证500 [IS],-0.35,0.06,-40.24,-0.009,10.6,2012-01-05,2022-12-30,37.7,5.0,5.9,0.354,-65.2
M1>8% | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
TS>0.1 | 中证500 [FULL],6.67,0.386,-66.68,0.1,13.7,2012-01-05,2026-03-24,98.2,7.0,6.54,0.38,-65.2
TS>0.1 | 中证500 [IS],6.08,0.361,-66.68,0.091,10.6,2012-01-05,2022-12-30,97.7,7.0,5.9,0.354,-65.2
TS>0.1 | 中证500 [OOS],8.75,0.49,-31.15,0.281,3.1,2023-01-03,2026-03-24,100.0,0.0,8.75,0.49,-31.15
TS>0.2 | 中证500 [FULL],4.75,0.313,-68.32,0.069,13.7,2012-01-05,2026-03-24,94.0,31.0,6.54,0.38,-65.2
TS>0.2 | 中证500 [IS],4.35,0.296,-68.32,0.064,10.6,2012-01-05,2022-12-30,92.7,26.0,5.9,0.354,-65.2
TS>0.2 | 中证500 [OOS],6.13,0.38,-31.28,0.196,3.1,2023-01-03,2026-03-24,98.5,5.0,8.75,0.49,-31.15
TS>0.3 | 中证500 [FULL],4.52,0.307,-62.85,0.072,13.7,2012-01-05,2026-03-24,82.6,41.0,6.54,0.38,-65.2
TS>0.3 | 中证500 [IS],3.87,0.279,-62.85,0.062,10.6,2012-01-05,2022-12-30,84.8,29.0,5.9,0.354,-65.2
TS>0.3 | 中证500 [OOS],6.75,0.438,-30.32,0.223,3.1,2023-01-03,2026-03-24,74.9,12.0,8.75,0.49,-31.15
TS>0.4 | 中证500 [FULL],2.1,0.205,-50.56,0.042,13.7,2012-01-05,2026-03-24,62.2,62.0,6.54,0.38,-65.2
TS>0.4 | 中证500 [IS],2.11,0.206,-50.56,0.042,10.6,2012-01-05,2022-12-30,63.5,52.0,5.9,0.354,-65.2
TS>0.4 | 中证500 [OOS],2.06,0.204,-29.15,0.071,3.1,2023-01-03,2026-03-24,57.6,10.0,8.75,0.49,-31.15
TS>0.5 | 中证500 [FULL],-0.57,0.055,-50.56,-0.011,13.7,2012-01-05,2026-03-24,34.6,75.0,6.54,0.38,-65.2
TS>0.5 | 中证500 [IS],-0.72,0.053,-50.56,-0.014,10.6,2012-01-05,2022-12-30,38.0,64.0,5.9,0.354,-65.2
TS>0.5 | 中证500 [OOS],-0.05,0.063,-19.25,-0.003,3.1,2023-01-03,2026-03-24,22.9,11.0,8.75,0.49,-31.15
TS>0.6 | 中证500 [FULL],0.89,0.134,-50.56,0.018,13.7,2012-01-05,2026-03-24,15.0,33.0,6.54,0.38,-65.2
TS>0.6 | 中证500 [IS],-1.47,-0.035,-50.56,-0.029,10.6,2012-01-05,2022-12-30,15.7,26.0,5.9,0.354,-65.2
TS>0.6 | 中证500 [OOS],9.48,0.814,-10.11,0.937,3.1,2023-01-03,2026-03-24,12.5,7.0,8.75,0.49,-31.15
TS>0.8 | 中证500 [FULL],-3.37,-0.295,-45.97,-0.073,13.7,2012-01-05,2026-03-24,5.9,5.0,6.54,0.38,-65.2
TS>0.8 | 中证500 [IS],-4.33,-0.335,-45.97,-0.094,10.6,2012-01-05,2022-12-30,7.6,5.0,5.9,0.354,-65.2
TS>0.8 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.1,2023-01-03,2026-03-24,0.0,0.0,8.75,0.49,-31.15
TS>1.0 | 中证500 [FULL],-3.43,-0.508,-44.57,-0.077,13.7,2012-01-05,2026-03-24,2.2,8.0,6.54,0.38,-65.2
TS>1.0 | 中证500 [IS],-4.4,-0.577,-44.57,-0.099,10.6,2012-01-05,2022-12-30,2.8,8.0,5.9,0.354,-65.2
TS>1.0 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.1,2023-01-03,2026-03-24,0.0,0.0,8.75,0.49,-31.15
TS>MA20 | 中证500 [FULL],2.03,0.204,-62.38,0.033,13.7,2012-01-05,2026-03-24,49.2,191.0,6.54,0.38,-65.2
TS>MA20 | 中证500 [IS],1.67,0.183,-56.1,0.03,10.6,2012-01-05,2022-12-30,49.2,148.0,5.9,0.354,-65.2
TS>MA20 | 中证500 [OOS],3.29,0.295,-35.03,0.094,3.1,2023-01-03,2026-03-24,49.4,43.0,8.75,0.49,-31.15
TS>MA60 | 中证500 [FULL],0.95,0.14,-58.11,0.016,13.7,2012-01-05,2026-03-24,46.1,107.0,6.54,0.38,-65.2
TS>MA60 | 中证500 [IS],-0.96,0.023,-44.85,-0.021,10.6,2012-01-05,2022-12-30,45.0,82.0,5.9,0.354,-65.2
TS>MA60 | 中证500 [OOS],7.81,0.539,-30.17,0.259,3.1,2023-01-03,2026-03-24,49.9,25.0,8.75,0.49,-31.15
TS>MA120 | 中证500 [FULL],2.44,0.223,-55.63,0.044,13.7,2012-01-05,2026-03-24,49.9,81.0,6.54,0.38,-65.2
TS>MA120 | 中证500 [IS],0.26,0.108,-52.21,0.005,10.6,2012-01-05,2022-12-30,49.1,73.0,5.9,0.354,-65.2
TS>MA120 | 中证500 [OOS],10.28,0.65,-24.72,0.416,3.1,2023-01-03,2026-03-24,52.6,8.0,8.75,0.49,-31.15
TS>MA250 | 中证500 [FULL],-3.49,-0.103,-67.76,-0.051,13.7,2012-01-05,2026-03-24,43.9,68.0,6.54,0.38,-65.2
TS>MA250 | 中证500 [IS],-4.6,-0.156,-67.76,-0.068,10.6,2012-01-05,2022-12-30,44.6,58.0,5.9,0.354,-65.2
TS>MA250 | 中证500 [OOS],0.44,0.108,-21.42,0.02,3.1,2023-01-03,2026-03-24,41.6,10.0,8.75,0.49,-31.15
10Y<2.5 | 中证500 [FULL],3.18,0.371,-19.9,0.16,13.7,2012-01-05,2026-03-24,15.2,3.0,6.54,0.38,-65.2
10Y<2.5 | 中证500 [IS],0.07,0.27,-0.1,0.715,10.6,2012-01-05,2022-12-30,0.0,1.0,5.9,0.354,-65.2
10Y<2.5 | 中证500 [OOS],14.62,0.769,-19.9,0.735,3.1,2023-01-03,2026-03-24,67.1,2.0,8.75,0.49,-31.15
10Y<2.8 | 中证500 [FULL],1.03,0.145,-35.2,0.029,13.7,2012-01-05,2026-03-24,29.4,19.0,6.54,0.38,-65.2
10Y<2.8 | 中证500 [IS],-0.65,-0.047,-16.87,-0.038,10.6,2012-01-05,2022-12-30,11.8,19.0,5.9,0.354,-65.2
10Y<2.8 | 中证500 [OOS],7.01,0.42,-28.93,0.242,3.1,2023-01-03,2026-03-24,90.1,0.0,8.75,0.49,-31.15
10Y<3.0 | 中证500 [FULL],0.9,0.136,-42.34,0.021,13.7,2012-01-05,2026-03-24,43.6,9.0,6.54,0.38,-65.2
10Y<3.0 | 中证500 [IS],-1.28,-0.028,-32.91,-0.039,10.6,2012-01-05,2022-12-30,27.2,9.0,5.9,0.354,-65.2
10Y<3.0 | 中证500 [OOS],8.75,0.49,-31.15,0.281,3.1,2023-01-03,2026-03-24,100.0,0.0,8.75,0.49,-31.15
10Y<3.2 | 中证500 [FULL],5.1,0.373,-41.81,0.122,13.7,2012-01-05,2026-03-24,54.7,16.0,6.54,0.38,-65.2
10Y<3.2 | 中证500 [IS],4.06,0.331,-33.46,0.121,10.6,2012-01-05,2022-12-30,41.5,16.0,5.9,0.354,-65.2
10Y<3.2 | 中证500 [OOS],8.75,0.49,-31.15,0.281,3.1,2023-01-03,2026-03-24,100.0,0.0,8.75,0.49,-31.15
10Y<3.5 | 中证500 [FULL],6.98,0.427,-41.81,0.167,13.7,2012-01-05,2026-03-24,71.3,20.0,6.54,0.38,-65.2
10Y<3.5 | 中证500 [IS],6.47,0.408,-33.46,0.193,10.6,2012-01-05,2022-12-30,63.0,20.0,5.9,0.354,-65.2
10Y<3.5 | 中证500 [OOS],8.75,0.49,-31.15,0.281,3.1,2023-01-03,2026-03-24,100.0,0.0,8.75,0.49,-31.15
10Y<MA60 | 中证500 [FULL],3.93,0.297,-43.95,0.089,13.7,2012-01-05,2026-03-24,56.0,81.0,6.54,0.38,-65.2
10Y<MA60 | 中证500 [IS],5.58,0.374,-43.95,0.127,10.6,2012-01-05,2022-12-30,52.8,59.0,5.9,0.354,-65.2
10Y<MA60 | 中证500 [OOS],-1.54,-0.001,-27.93,-0.055,3.1,2023-01-03,2026-03-24,67.2,22.0,8.75,0.49,-31.15
10Y<MA120 | 中证500 [FULL],4.93,0.34,-42.74,0.115,13.7,2012-01-05,2026-03-24,59.9,54.0,6.54,0.38,-65.2
10Y<MA120 | 中证500 [IS],7.93,0.479,-42.74,0.185,10.6,2012-01-05,2022-12-30,57.1,46.0,5.9,0.354,-65.2
10Y<MA120 | 中证500 [OOS],-4.74,-0.144,-29.43,-0.161,3.1,2023-01-03,2026-03-24,69.4,8.0,8.75,0.49,-31.15
10Y<MA250 | 中证500 [FULL],6.1,0.38,-61.18,0.1,13.7,2012-01-05,2026-03-24,65.9,29.0,6.54,0.38,-65.2
10Y<MA250 | 中证500 [IS],6.92,0.41,-61.18,0.113,10.6,2012-01-05,2022-12-30,63.8,27.0,5.9,0.354,-65.2
10Y<MA250 | 中证500 [OOS],3.31,0.264,-28.93,0.115,3.1,2023-01-03,2026-03-24,73.0,2.0,8.75,0.49,-31.15
M1M2>-1&TS>0.3 | 中证500 [FULL],-0.2,0.031,-33.46,-0.006,13.6,2012-01-05,2026-01-30,13.2,13.0,7.36,0.412,-65.2
M1M2>-1&TS>0.3 | 中证500 [IS],-0.25,0.035,-33.46,-0.008,10.6,2012-01-05,2022-12-30,16.9,13.0,5.9,0.354,-65.2
M1M2>-1&TS>0.3 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2>-1|TS>0.3 | 中证500 [FULL],6.17,0.373,-61.95,0.1,13.6,2012-01-05,2026-01-30,88.7,33.0,7.36,0.412,-65.2
M1M2>-1|TS>0.3 | 中证500 [IS],4.97,0.321,-61.95,0.08,10.6,2012-01-05,2022-12-30,92.9,21.0,5.9,0.354,-65.2
M1M2>-1|TS>0.3 | 中证500 [OOS],10.6,0.637,-30.32,0.35,3.0,2023-01-03,2026-01-30,73.9,12.0,12.75,0.66,-31.15
M1M2>-1&TS>0.5 | 中证500 [FULL],1.88,0.443,-8.94,0.211,13.6,2012-01-05,2026-01-30,3.9,19.0,7.36,0.412,-65.2
M1M2>-1&TS>0.5 | 中证500 [IS],2.42,0.501,-8.94,0.27,10.6,2012-01-05,2022-12-30,4.9,19.0,5.9,0.354,-65.2
M1M2>-1&TS>0.5 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2>-1|TS>0.5 | 中证500 [FULL],-1.53,0.024,-57.72,-0.027,13.6,2012-01-05,2026-01-30,50.5,61.0,7.36,0.412,-65.2
M1M2>-1|TS>0.5 | 中证500 [IS],-2.28,0.001,-57.72,-0.04,10.6,2012-01-05,2022-12-30,58.0,50.0,5.9,0.354,-65.2
M1M2>-1|TS>0.5 | 中证500 [OOS],1.2,0.155,-19.25,0.063,3.0,2023-01-03,2026-01-30,23.4,11.0,12.75,0.66,-31.15
M1M2>0&TS>0.3 | 中证500 [FULL],-0.77,-0.033,-33.46,-0.023,13.6,2012-01-05,2026-01-30,11.7,8.0,7.36,0.412,-65.2
M1M2>0&TS>0.3 | 中证500 [IS],-0.98,-0.037,-33.46,-0.029,10.6,2012-01-05,2022-12-30,15.0,8.0,5.9,0.354,-65.2
M1M2>0&TS>0.3 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2>0|TS>0.3 | 中证500 [FULL],5.49,0.346,-61.95,0.089,13.6,2012-01-05,2026-01-30,88.0,35.0,7.36,0.412,-65.2
M1M2>0|TS>0.3 | 中证500 [IS],4.11,0.288,-61.95,0.066,10.6,2012-01-05,2022-12-30,92.0,23.0,5.9,0.354,-65.2
M1M2>0|TS>0.3 | 中证500 [OOS],10.6,0.637,-30.32,0.35,3.0,2023-01-03,2026-01-30,73.9,12.0,12.75,0.66,-31.15
M1M2>0&TS>0.5 | 中证500 [FULL],1.35,0.351,-8.94,0.151,13.6,2012-01-05,2026-01-30,3.3,18.0,7.36,0.412,-65.2
M1M2>0&TS>0.5 | 中证500 [IS],1.73,0.397,-8.94,0.193,10.6,2012-01-05,2022-12-30,4.2,18.0,5.9,0.354,-65.2
M1M2>0&TS>0.5 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2>0|TS>0.5 | 中证500 [FULL],-2.21,-0.014,-58.45,-0.038,13.6,2012-01-05,2026-01-30,48.8,59.0,7.36,0.412,-65.2
M1M2>0|TS>0.5 | 中证500 [IS],-3.14,-0.044,-58.45,-0.054,10.6,2012-01-05,2022-12-30,55.9,48.0,5.9,0.354,-65.2
M1M2>0|TS>0.5 | 中证500 [OOS],1.2,0.155,-19.25,0.063,3.0,2023-01-03,2026-01-30,23.4,11.0,12.75,0.66,-31.15
M1M2>1&TS>0.3 | 中证500 [FULL],-1.39,-0.108,-33.46,-0.041,13.6,2012-01-05,2026-01-30,11.2,8.0,7.36,0.412,-65.2
M1M2>1&TS>0.3 | 中证500 [IS],-1.77,-0.122,-33.46,-0.053,10.6,2012-01-05,2022-12-30,14.4,8.0,5.9,0.354,-65.2
M1M2>1&TS>0.3 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2>1|TS>0.3 | 中证500 [FULL],5.49,0.346,-61.95,0.089,13.6,2012-01-05,2026-01-30,88.0,35.0,7.36,0.412,-65.2
M1M2>1|TS>0.3 | 中证500 [IS],4.11,0.288,-61.95,0.066,10.6,2012-01-05,2022-12-30,92.0,23.0,5.9,0.354,-65.2
M1M2>1|TS>0.3 | 中证500 [OOS],10.6,0.637,-30.32,0.35,3.0,2023-01-03,2026-01-30,73.9,12.0,12.75,0.66,-31.15
M1M2>1&TS>0.5 | 中证500 [FULL],1.07,0.298,-8.94,0.12,13.6,2012-01-05,2026-01-30,3.1,16.0,7.36,0.412,-65.2
M1M2>1&TS>0.5 | 中证500 [IS],1.37,0.337,-8.94,0.154,10.6,2012-01-05,2022-12-30,4.0,16.0,5.9,0.354,-65.2
M1M2>1&TS>0.5 | 中证500 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.75,0.66,-31.15
M1M2>1|TS>0.5 | 中证500 [FULL],-2.54,-0.033,-60.32,-0.042,13.6,2012-01-05,2026-01-30,48.5,60.0,7.36,0.412,-65.2
M1M2>1|TS>0.5 | 中证500 [IS],-3.56,-0.067,-60.32,-0.059,10.6,2012-01-05,2022-12-30,55.5,49.0,5.9,0.354,-65.2
M1M2>1|TS>0.5 | 中证500 [OOS],1.2,0.155,-19.25,0.063,3.0,2023-01-03,2026-01-30,23.4,11.0,12.75,0.66,-31.15
M1M2_Up&10Y<MA60 | 中证500 [FULL],5.11,0.414,-40.24,0.127,13.6,2012-01-05,2026-01-30,26.6,49.0,7.36,0.412,-65.2
M1M2_Up&10Y<MA60 | 中证500 [IS],5.46,0.425,-40.24,0.136,10.6,2012-01-05,2022-12-30,25.1,40.0,5.9,0.354,-65.2
M1M2_Up&10Y<MA60 | 中证500 [OOS],3.88,0.37,-20.64,0.188,3.0,2023-01-03,2026-01-30,32.0,9.0,12.75,0.66,-31.15
M1M2_Up|10Y<MA60 | 中证500 [FULL],5.62,0.357,-59.56,0.094,13.6,2012-01-05,2026-01-30,76.7,52.0,7.36,0.412,-65.2
M1M2_Up|10Y<MA60 | 中证500 [IS],5.73,0.357,-59.56,0.096,10.6,2012-01-05,2022-12-30,74.3,37.0,5.9,0.354,-65.2
M1M2_Up|10Y<MA60 | 中证500 [OOS],5.25,0.359,-27.93,0.188,3.0,2023-01-03,2026-01-30,85.4,15.0,12.75,0.66,-31.15
M1M2_Up&10Y<MA120 | 中证500 [FULL],6.7,0.502,-34.65,0.193,13.6,2012-01-05,2026-01-30,28.8,38.0,7.36,0.412,-65.2
M1M2_Up&10Y<MA120 | 中证500 [IS],8.39,0.593,-34.65,0.242,10.6,2012-01-05,2022-12-30,27.4,32.0,5.9,0.354,-65.2
M1M2_Up&10Y<MA120 | 中证500 [OOS],0.85,0.131,-20.56,0.041,3.0,2023-01-03,2026-01-30,33.9,6.0,12.75,0.66,-31.15
M1M2_Up|10Y<MA120 | 中证500 [FULL],5.56,0.352,-62.54,0.089,13.6,2012-01-05,2026-01-30,78.3,38.0,7.36,0.412,-65.2
M1M2_Up|10Y<MA120 | 中证500 [IS],5.14,0.333,-62.54,0.082,10.6,2012-01-05,2022-12-30,76.4,33.0,5.9,0.354,-65.2
M1M2_Up|10Y<MA120 | 中证500 [OOS],7.09,0.433,-29.43,0.241,3.0,2023-01-03,2026-01-30,85.3,5.0,12.75,0.66,-31.15
M1M2>-3 | 创业板 [FULL],3.96,0.321,-52.65,0.075,13.6,2012-01-05,2026-01-30,28.9,5.0,12.14,0.527,-69.74
M1M2>-3 | 创业板 [IS],1.99,0.201,-52.65,0.038,10.6,2012-01-05,2022-12-30,34.7,4.0,11.98,0.522,-69.74
M1M2>-3 | 创业板 [OOS],11.3,1.081,-10.01,1.13,3.0,2023-01-03,2026-01-30,8.0,1.0,12.72,0.546,-41.45
M1M2>-2 | 创业板 [FULL],3.22,0.286,-45.04,0.071,13.6,2012-01-05,2026-01-30,24.7,7.0,12.14,0.527,-69.74
M1M2>-2 | 创业板 [IS],3.39,0.286,-45.04,0.075,10.6,2012-01-05,2022-12-30,30.2,6.0,11.98,0.522,-69.74
M1M2>-2 | 创业板 [OOS],2.6,0.33,-10.01,0.26,3.0,2023-01-03,2026-01-30,5.2,1.0,12.72,0.546,-41.45
M1M2>-1 | 创业板 [FULL],0.45,0.099,-45.04,0.01,13.6,2012-01-05,2026-01-30,19.5,5.0,12.14,0.527,-69.74
M1M2>-1 | 创业板 [IS],0.58,0.112,-45.04,0.013,10.6,2012-01-05,2022-12-30,25.0,5.0,11.98,0.522,-69.74
M1M2>-1 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2>0 | 创业板 [FULL],-1.7,-0.086,-42.83,-0.04,13.6,2012-01-05,2026-01-30,17.3,2.0,12.14,0.527,-69.74
M1M2>0 | 创业板 [IS],-2.17,-0.098,-42.83,-0.051,10.6,2012-01-05,2022-12-30,22.1,2.0,11.98,0.522,-69.74
M1M2>0 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2>1 | 创业板 [FULL],-2.46,-0.163,-42.83,-0.057,13.6,2012-01-05,2026-01-30,16.8,2.0,12.14,0.527,-69.74
M1M2>1 | 创业板 [IS],-3.13,-0.185,-42.83,-0.073,10.6,2012-01-05,2022-12-30,21.5,2.0,11.98,0.522,-69.74
M1M2>1 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2>2 | 创业板 [FULL],-2.63,-0.207,-33.58,-0.078,13.6,2012-01-05,2026-01-30,15.5,2.0,12.14,0.527,-69.74
M1M2>2 | 创业板 [IS],-3.35,-0.234,-33.58,-0.1,10.6,2012-01-05,2022-12-30,19.8,2.0,11.98,0.522,-69.74
M1M2>2 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2>3 | 创业板 [FULL],-2.63,-0.207,-33.58,-0.078,13.6,2012-01-05,2026-01-30,15.5,2.0,12.14,0.527,-69.74
M1M2>3 | 创业板 [IS],-3.35,-0.234,-33.58,-0.1,10.6,2012-01-05,2022-12-30,19.8,2.0,11.98,0.522,-69.74
M1M2>3 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
M1M2_Rising(3m) | 创业板 [FULL],14.24,0.706,-48.19,0.296,13.6,2012-01-05,2026-01-30,47.6,23.0,12.14,0.527,-69.74
M1M2_Rising(3m) | 创业板 [IS],14.14,0.689,-48.19,0.293,10.6,2012-01-05,2022-12-30,46.7,19.0,11.98,0.522,-69.74
M1M2_Rising(3m) | 创业板 [OOS],14.6,0.781,-25.41,0.575,3.0,2023-01-03,2026-01-30,50.9,4.0,12.72,0.546,-41.45
M1M2_Rising(6m) | 创业板 [FULL],10.06,0.548,-48.59,0.207,13.6,2012-01-05,2026-01-30,42.4,20.0,12.14,0.527,-69.74
M1M2_Rising(6m) | 创业板 [IS],11.24,0.588,-48.19,0.233,10.6,2012-01-05,2022-12-30,40.1,17.0,11.98,0.522,-69.74
M1M2_Rising(6m) | 创业板 [OOS],5.94,0.392,-30.59,0.194,3.0,2023-01-03,2026-01-30,50.7,3.0,12.72,0.546,-41.45
M1>0% | 创业板 [FULL],11.7,0.528,-69.74,0.168,13.6,2012-01-05,2026-01-30,94.8,3.0,12.14,0.527,-69.74
M1>0% | 创业板 [IS],13.29,0.562,-69.74,0.191,10.6,2012-01-05,2022-12-30,98.7,2.0,11.98,0.522,-69.74
M1>0% | 创业板 [OOS],6.22,0.383,-42.02,0.148,3.0,2023-01-03,2026-01-30,81.0,1.0,12.72,0.546,-41.45
M1>3% | 创业板 [FULL],9.51,0.471,-66.11,0.144,13.6,2012-01-05,2026-01-30,80.3,9.0,12.14,0.527,-69.74
M1>3% | 创业板 [IS],9.17,0.446,-66.11,0.139,10.6,2012-01-05,2022-12-30,91.2,7.0,11.98,0.522,-69.74
M1>3% | 创业板 [OOS],10.74,0.733,-27.88,0.385,3.0,2023-01-03,2026-01-30,41.0,2.0,12.72,0.546,-41.45
M1>5% | 创业板 [FULL],8.12,0.462,-48.73,0.167,13.6,2012-01-05,2026-01-30,53.7,9.0,12.14,0.527,-69.74
M1>5% | 创业板 [IS],6.74,0.39,-48.73,0.138,10.6,2012-01-05,2022-12-30,62.6,7.0,11.98,0.522,-69.74
M1>5% | 创业板 [OOS],13.23,1.08,-13.57,0.975,3.0,2023-01-03,2026-01-30,21.6,2.0,12.72,0.546,-41.45
M1>8% | 创业板 [FULL],5.19,0.381,-45.04,0.115,13.6,2012-01-05,2026-01-30,29.5,5.0,12.14,0.527,-69.74
M1>8% | 创业板 [IS],6.69,0.431,-45.04,0.149,10.6,2012-01-05,2022-12-30,37.7,5.0,11.98,0.522,-69.74
M1>8% | 创业板 [OOS],0.0,0.0,0.0,0.0,3.0,2023-01-03,2026-01-30,0.0,0.0,12.72,0.546,-41.45
TS>0.1 | 创业板 [FULL],11.95,0.523,-69.14,0.173,13.7,2012-01-05,2026-03-24,98.2,7.0,11.79,0.517,-69.74
TS>0.1 | 创业板 [IS],12.18,0.53,-69.14,0.176,10.6,2012-01-05,2022-12-30,97.7,7.0,11.98,0.522,-69.74
TS>0.1 | 创业板 [OOS],11.14,0.5,-41.45,0.269,3.1,2023-01-03,2026-03-24,100.0,0.0,11.14,0.5,-41.45
TS>0.2 | 创业板 [FULL],10.34,0.478,-70.59,0.146,13.7,2012-01-05,2026-03-24,94.0,31.0,11.79,0.517,-69.74
TS>0.2 | 创业板 [IS],10.92,0.495,-70.59,0.155,10.6,2012-01-05,2022-12-30,92.7,26.0,11.98,0.522,-69.74
TS>0.2 | 创业板 [OOS],8.34,0.415,-41.42,0.201,3.1,2023-01-03,2026-03-24,98.5,5.0,11.14,0.5,-41.45
TS>0.3 | 创业板 [FULL],8.55,0.429,-66.49,0.129,13.7,2012-01-05,2026-03-24,82.6,41.0,11.79,0.517,-69.74
TS>0.3 | 创业板 [IS],8.69,0.432,-66.49,0.131,10.6,2012-01-05,2022-12-30,84.8,29.0,11.98,0.522,-69.74
TS>0.3 | 创业板 [OOS],8.08,0.42,-41.55,0.194,3.1,2023-01-03,2026-03-24,74.9,12.0,11.14,0.5,-41.45
TS>0.4 | 创业板 [FULL],4.54,0.301,-54.86,0.083,13.7,2012-01-05,2026-03-24,62.2,62.0,11.79,0.517,-69.74
TS>0.4 | 创业板 [IS],4.7,0.307,-54.86,0.086,10.6,2012-01-05,2022-12-30,63.5,52.0,11.98,0.522,-69.74
TS>0.4 | 创业板 [OOS],4.01,0.279,-33.71,0.119,3.1,2023-01-03,2026-03-24,57.6,10.0,11.14,0.5,-41.45
TS>0.5 | 创业板 [FULL],0.93,0.148,-54.86,0.017,13.7,2012-01-05,2026-03-24,34.6,75.0,11.79,0.517,-69.74
TS>0.5 | 创业板 [IS],0.33,0.121,-54.86,0.006,10.6,2012-01-05,2022-12-30,38.0,64.0,11.98,0.522,-69.74
TS>0.5 | 创业板 [OOS],3.03,0.244,-23.73,0.128,3.1,2023-01-03,2026-03-24,22.9,11.0,11.14,0.5,-41.45
TS>0.6 | 创业板 [FULL],1.08,0.147,-54.86,0.02,13.7,2012-01-05,2026-03-24,15.0,33.0,11.79,0.517,-69.74
TS>0.6 | 创业板 [IS],-2.74,-0.099,-54.86,-0.05,10.6,2012-01-05,2022-12-30,15.7,26.0,11.98,0.522,-69.74
TS>0.6 | 创业板 [OOS],15.37,0.845,-13.32,1.154,3.1,2023-01-03,2026-03-24,12.5,7.0,11.14,0.5,-41.45
TS>0.8 | 创业板 [FULL],-4.05,-0.333,-52.54,-0.077,13.7,2012-01-05,2026-03-24,5.9,5.0,11.79,0.517,-69.74
TS>0.8 | 创业板 [IS],-5.2,-0.378,-52.54,-0.099,10.6,2012-01-05,2022-12-30,7.6,5.0,11.98,0.522,-69.74
TS>0.8 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.1,2023-01-03,2026-03-24,0.0,0.0,11.14,0.5,-41.45
TS>1.0 | 创业板 [FULL],-3.35,-0.452,-41.91,-0.08,13.7,2012-01-05,2026-03-24,2.2,8.0,11.79,0.517,-69.74
TS>1.0 | 创业板 [IS],-4.3,-0.513,-41.91,-0.103,10.6,2012-01-05,2022-12-30,2.8,8.0,11.98,0.522,-69.74
TS>1.0 | 创业板 [OOS],0.0,0.0,0.0,0.0,3.1,2023-01-03,2026-03-24,0.0,0.0,11.14,0.5,-41.45
TS>MA20 | 创业板 [FULL],6.59,0.409,-58.14,0.113,13.7,2012-01-05,2026-03-24,49.2,191.0,11.79,0.517,-69.74
TS>MA20 | 创业板 [IS],4.14,0.297,-58.11,0.071,10.6,2012-01-05,2022-12-30,49.2,148.0,11.98,0.522,-69.74
TS>MA20 | 创业板 [OOS],15.45,0.816,-34.3,0.45,3.1,2023-01-03,2026-03-24,49.4,43.0,11.14,0.5,-41.45
TS>MA60 | 创业板 [FULL],4.03,0.293,-54.71,0.074,13.7,2012-01-05,2026-03-24,46.1,107.0,11.79,0.517,-69.74
TS>MA60 | 创业板 [IS],1.25,0.162,-48.52,0.026,10.6,2012-01-05,2022-12-30,45.0,82.0,11.98,0.522,-69.74
TS>MA60 | 创业板 [OOS],14.15,0.67,-31.0,0.456,3.1,2023-01-03,2026-03-24,49.9,25.0,11.14,0.5,-41.45
TS>MA120 | 创业板 [FULL],6.26,0.379,-55.1,0.114,13.7,2012-01-05,2026-03-24,49.9,81.0,11.79,0.517,-69.74
TS>MA120 | 创业板 [IS],2.46,0.221,-53.78,0.046,10.6,2012-01-05,2022-12-30,49.1,73.0,11.98,0.522,-69.74
