strategy,cagr,sharpe,mdd,calmar,years,start,end,pct_in_market,trades,bh_cagr,bh_sharpe,bh_mdd
TS>0.8 | 沪深300 [FULL],-3.46,-0.35,-44.91,-0.077,13.7,2012-01-05,2026-03-24,5.9,5.0,4.99,0.335,-46.7
TS>0.8 | 沪深300 [IS],-4.44,-0.398,-44.91,-0.099,10.6,2012-01-05,2022-12-30,7.6,5.0,5.04,0.332,-46.7
TS>0.8 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.1,2023-01-03,2026-03-24,0.0,0.0,4.8,0.361,-24.8
TS>1.0 | 沪深300 [FULL],-2.55,-0.418,-32.72,-0.078,13.7,2012-01-05,2026-03-24,2.2,8.0,4.99,0.335,-46.7
TS>1.0 | 沪深300 [IS],-3.28,-0.475,-32.72,-0.1,10.6,2012-01-05,2022-12-30,2.8,8.0,5.04,0.332,-46.7
TS>1.0 | 沪深300 [OOS],0.0,0.0,0.0,0.0,3.1,2023-01-03,2026-03-24,0.0,0.0,4.8,0.361,-24.8
TS>MA20 | 沪深300 [FULL],3.68,0.32,-40.13,0.092,13.7,2012-01-05,2026-03-24,49.2,191.0,4.99,0.335,-46.7
TS>MA20 | 沪深300 [IS],3.07,0.273,-40.13,0.076,10.6,2012-01-05,2022-12-30,49.2,148.0,5.04,0.332,-46.7
TS>MA20 | 沪深300 [OOS],5.79,0.563,-21.6,0.268,3.1,2023-01-03,2026-03-24,49.4,43.0,4.8,0.361,-24.8
TS>MA60 | 沪深300 [FULL],1.2,0.155,-46.43,0.026,13.7,2012-01-05,2026-03-24,46.1,107.0,4.99,0.335,-46.7
TS>MA60 | 沪深300 [IS],0.04,0.075,-38.78,0.001,10.6,2012-01-05,2022-12-30,45.0,82.0,5.04,0.332,-46.7
TS>MA60 | 沪深300 [OOS],5.29,0.461,-18.24,0.29,3.1,2023-01-03,2026-03-24,49.9,25.0,4.8,0.361,-24.8
TS>MA120 | 沪深300 [FULL],0.94,0.139,-51.68,0.018,13.7,2012-01-05,2026-03-24,49.9,81.0,4.99,0.335,-46.7
TS>MA120 | 沪深300 [IS],-0.67,0.044,-46.19,-0.015,10.6,2012-01-05,2022-12-30,49.1,73.0,5.04,0.332,-46.7
TS>MA120 | 沪深300 [OOS],6.69,0.544,-18.26,0.366,3.1,2023-01-03,2026-03-24,52.6,8.0,4.8,0.361,-24.8
TS>MA250 | 沪深300 [FULL],-4.53,-0.218,-58.69,-0.077,13.7,2012-01-05,2026-03-24,43.9,68.0,4.99,0.335,-46.7
TS>MA250 | 沪深300 [IS],-5.56,-0.265,-57.73,-0.096,10.6,2012-01-05,2022-12-30,44.6,58.0,5.04,0.332,-46.7
TS>MA250 | 沪深300 [OOS],-0.92,-0.01,-17.58,-0.052,3.1,2023-01-03,2026-03-24,41.6,10.0,4.8,0.361,-24.8
10Y<2.5 | 沪深300 [FULL],2.14,0.333,-15.66,0.136,13.7,2012-01-05,2026-03-24,15.2,3.0,4.99,0.335,-46.7
10Y<2.5 | 沪深300 [IS],0.01,0.159,-0.1,0.122,10.6,2012-01-05,2022-12-30,0.0,1.0,5.04,0.332,-46.7
10Y<2.5 | 沪深300 [OOS],9.78,0.699,-15.66,0.624,3.1,2023-01-03,2026-03-24,67.1,2.0,4.8,0.361,-24.8
10Y<2.8 | 沪深300 [FULL],-0.08,0.04,-35.71,-0.002,13.7,2012-01-05,2026-03-24,29.4,19.0,4.99,0.335,-46.7
10Y<2.8 | 沪深300 [IS],-1.18,-0.143,-24.68,-0.048,10.6,2012-01-05,2022-12-30,11.8,19.0,5.04,0.332,-46.7
10Y<2.8 | 沪深300 [OOS],3.76,0.307,-22.24,0.169,3.1,2023-01-03,2026-03-24,90.1,0.0,4.8,0.361,-24.8
10Y<3.0 | 沪深300 [FULL],-0.31,0.04,-40.15,-0.008,13.7,2012-01-05,2026-03-24,43.6,9.0,4.99,0.335,-46.7
10Y<3.0 | 沪深300 [IS],-1.75,-0.098,-33.53,-0.052,10.6,2012-01-05,2022-12-30,27.2,9.0,5.04,0.332,-46.7
10Y<3.0 | 沪深300 [OOS],4.8,0.361,-24.8,0.194,3.1,2023-01-03,2026-03-24,100.0,0.0,4.8,0.361,-24.8
10Y<3.2 | 沪深300 [FULL],3.95,0.341,-40.86,0.097,13.7,2012-01-05,2026-03-24,54.7,16.0,4.99,0.335,-46.7
10Y<3.2 | 沪深300 [IS],3.71,0.336,-34.31,0.108,10.6,2012-01-05,2022-12-30,41.5,16.0,5.04,0.332,-46.7
10Y<3.2 | 沪深300 [OOS],4.8,0.361,-24.8,0.194,3.1,2023-01-03,2026-03-24,100.0,0.0,4.8,0.361,-24.8
10Y<3.5 | 沪深300 [FULL],3.57,0.287,-45.6,0.078,13.7,2012-01-05,2026-03-24,71.3,20.0,4.99,0.335,-46.7
10Y<3.5 | 沪深300 [IS],3.22,0.267,-39.59,0.081,10.6,2012-01-05,2022-12-30,63.0,20.0,5.04,0.332,-46.7
10Y<3.5 | 沪深300 [OOS],4.8,0.361,-24.8,0.194,3.1,2023-01-03,2026-03-24,100.0,0.0,4.8,0.361,-24.8
10Y<MA60 | 沪深300 [FULL],1.32,0.163,-44.04,0.03,13.7,2012-01-05,2026-03-24,56.0,81.0,4.99,0.335,-46.7
