code,close,last_date,turn_20d,ret_1m,mom_6m,mom_12m,vol_20d,ep,bp,composite,rank
002142,30.1,2026-03-27,0.331,-0.02840542285345382,0.089693985226873,0.3569864213753833,0.22996959181138438,0.14757398695623045,1.0961462785285772,0.43678336698909,1
600039,9.94,2026-03-27,0.25600000000000006,0.012219959266802416,0.12100456621004563,0.4419970631424377,0.3521811395470115,0.08951041740139801,0.575471339800864,0.4421758185995266,2
601288,6.48,2026-03-27,0.122,0.009345794392523477,-0.1058495821727019,0.31557377049180335,0.24751718026495814,0.12724161554098554,1.2075107166576102,0.44224185571238406,3
601319,7.47,2026-03-27,0.192,-0.13038416763678695,0.03245192307692313,0.2744807121661721,0.2989034142538884,0.14120037830405355,0.9353355750209282,0.46767830889380885,4
600329,44.02,2026-03-27,0.694,0.018981481481481488,-0.005982512655315242,0.6425855513307985,0.33497816001078423,0.10553709887591381,0.2657658268200773,0.49927359175856834,5
601857,12.07,2026-03-27,0.301,0.1083562901744719,0.25460829493087567,0.4877049180327868,0.6868179328958792,0.0716009404640328,0.7054922572224769,0.506930421212511,6
601577,9.51,2026-03-27,0.4585,-0.030581039755351758,0.06054054054054059,0.2355163727959697,0.26136194141659697,0.21434210156857691,1.8259770803356876,0.5271308264718456,7
000708,16.42,2026-03-27,0.35550000000000004,-0.05251009809578744,0.37212984956452866,0.4723874256584537,0.3085299316708869,0.07153804507698065,0.5200378379530894,0.5296454502167061,8
601601,37.12,2026-03-27,0.5309999999999999,-0.09375000000000011,0.0767613038906414,0.3036282622533417,0.3204599544733361,0.14982900764502513,0.8460852481652642,0.5431726314399218,9
601998,8.32,2026-03-27,0.175,0.15076071922544942,-0.051181102362204633,0.1775244299674268,0.21253195722550822,0.15253331136853648,1.5635333978551451,0.5452910325076377,10
601336,63.32,2026-03-27,0.893,-0.15730636145861054,0.19917012448132798,0.552800165323414,0.3466703982930062,0.19443152014923007,0.5088248029703156,0.5646659738562546,11
601628,37.32,2026-03-27,0.1005,-0.16696428571428568,0.12591103292284478,0.1463664278403276,0.29641689649261865,0.14606781782713896,0.5642614832854463,0.5774406795566477,12
600919,10.81,2026-03-27,0.5615,0.034449760765550286,0.011616650532429773,0.24109263657957247,0.2182964177443139,0.1723529940989782,1.2859718475043145,0.5781253801478536,13
600801,20.4,2026-03-27,0.7995,-0.13559322033898313,0.517684887459807,1.116591928251121,0.39985557024084534,0.06727730237393344,0.7559607505178331,0.5791976143224071,14
600901,6.48,2026-03-27,0.5290000000000001,0.02694136291600646,0.1685185185185183,0.3687635574837309,0.26057458069670414,0.08423626182382289,0.6663796791515121,0.586645905525221,15
600926,16.57,2026-03-27,0.461,0.017813267813267863,0.06754098360655747,0.19354838709677424,0.20906088964449418,0.15843022265625062,1.1070212824841557,0.5955852452236052,16
601009,11.2,2026-03-27,0.37,0.0,0.037998146431881485,0.17277486910994755,0.21942095375640047,0.15748314221704138,1.3149485986592784,0.5957155816305607,17
601229,9.79,2026-03-27,0.30950000000000005,0.0030737704918031294,0.07252747252747249,0.12572087658592856,0.1771329696791888,0.17391745946940565,1.7243371217019896,0.6093626723481755,18
603568,26.29,2026-03-27,0.383,-0.06006435466571325,0.45677083333333335,0.4791115811739819,0.3960274535938134,0.060676360605193304,0.3230069100868275,0.6186304597920874,19
601825,8.9,2026-03-27,0.21150000000000002,0.06332138590203118,-0.012971698113207641,0.11599999999999988,0.19590947345514886,0.14411678532522185,1.4670435990687207,0.6227404011580824,20
002736,11.33,2026-03-27,0.457,-0.08333333333333326,-0.10629067245119306,0.20585365853658533,0.34919301810708764,0.10750803891360977,0.8372544751251696,0.6257381385180576,21
601598,5.82,2026-03-27,0.43450000000000005,-0.011884550084889534,0.027923211169284423,0.2322175732217573,0.40859056910052977,0.09033789262654894,0.9527557029574489,0.6262264655894507,22
688336,71.53,2026-03-27,0.9840000000000002,0.15632072421597165,0.004710086080883524,1.446993670886076,0.5634843051099676,0.06646911602257317,0.13341920193169657,0.6289131333914924,23
600578,5.57,2026-03-27,0.9255000000000001,0.048964218455743946,0.2206896551724138,0.6189024390243902,0.5347173227633063,0.09355037519313475,0.637229225371409,0.6379914985906291,24
000776,18.29,2026-03-27,0.7070000000000001,-0.12109562710235466,0.015617374328940947,0.35746901500326156,0.2683244642317639,0.09647162740496533,0.8867205615423972,0.6491291790196617,25
600741,18.08,2026-03-27,0.357,-0.0742447516641066,-0.05879518072289147,0.14210526315789473,0.2607120371517002,0.12113719235241523,1.1354939512237219,0.6534233291741538,26
601318,56.95,2026-03-27,0.7104999999999999,-0.10314960629921255,0.11501316944688322,0.2940696963521501,0.25532225829125704,0.13069633438604875,0.9701221771869948,0.6641943298449519,27
601077,7.0,2026-03-27,0.709,0.07361963190184051,0.03987240829346095,0.24665391969407247,0.24603965726558885,0.15256067757689096,1.6494437251037086,0.6656123899526271,28
601717,22.01,2026-03-27,1.2999999999999998,-0.10890688259109305,0.14937180083759904,0.9649960222752585,0.3716067322771268,0.11502557191001918,0.5893293667538089,0.6688708001265132,29
601298,8.65,2026-03-27,0.2575,-0.06080347448425627,0.1056422569027613,0.12317073170731718,0.24434336668325024,0.09388595860380312,0.8079221615472678,0.6728625698168686,30
