date,close,adjclose
2021-03-21,265.95001220703125,228.28086853027344
2021-03-28,284.55999755859375,244.25494384765625
2021-04-04,265.29998779296875,227.72293090820312
2021-04-11,261.79998779296875,224.71865844726562
2021-04-18,280.0,240.3408203125
2021-04-25,285.0,244.63262939453125
2021-05-02,272.1000061035156,233.55979919433594
2021-05-09,287.0,246.34934997558594
2021-05-16,296.6000061035156,254.58963012695312
2021-05-23,316.8999938964844,272.0143127441406
2021-05-30,315.29998779296875,270.64093017578125
2021-06-06,301.57000732421875,258.85565185546875
2021-06-13,291.0,249.78282165527344
2021-06-20,299.9200134277344,257.43939208984375
2021-06-27,286.0299987792969,245.5167236328125
2021-07-04,267.2799987792969,229.42247009277344
2021-07-11,277.5199890136719,240.51165771484375
2021-07-18,271.2099914550781,235.04315185546875
2021-07-25,220.75,191.3121795654297
2021-08-01,226.0,195.862060546875
2021-08-08,240.8000030517578,208.68844604492188
2021-08-15,206.3800048828125,178.85845947265625
2021-08-22,205.67999267578125,178.25180053710938
2021-08-29,205.88999938964844,178.43382263183594
2021-09-05,213.6999969482422,185.20233154296875
2021-09-12,201.9499969482422,175.0192413330078
2021-09-19,200.52000427246094,173.77992248535156
2021-09-26,219.38999938964844,190.133544921875
2021-10-03,228.22000122070312,197.78604125976562
2021-10-10,234.32000732421875,203.07257080078125
2021-10-17,225.02999877929688,195.0214080810547
2021-10-24,216.50999450683594,187.63760375976562
2021-10-31,210.30999755859375,182.264404296875
2021-11-07,203.85000610351562,176.66586303710938
2021-11-14,212.60000610351562,184.2490234375
2021-11-21,222.86000061035156,193.14080810546875
2021-11-28,229.4499969482422,198.8520050048828
2021-12-05,247.0,214.06163024902344
2021-12-12,235.16000366210938,203.80056762695312
2021-12-19,241.94000244140625,209.67640686035156
2021-12-26,222.66000366210938,192.9674835205078
2022-01-02,217.66000366210938,188.6342315673828
2022-01-09,207.1999969482422,179.5691375732422
2022-01-16,217.25999450683594,188.28759765625
2022-01-23,198.3800048828125,171.92532348632812
2022-01-30,198.3800048828125,171.92532348632812
2022-02-06,194.27000427246094,168.3634033203125
2022-02-13,199.0,172.46263122558594
2022-02-20,190.47999572753906,165.07879638671875
2022-02-27,176.3699951171875,152.8504180908203
2022-03-06,171.77000427246094,148.8638458251953
2022-03-13,167.89999389648438,145.5099334716797
2022-03-20,157.19000244140625,136.2281494140625
2022-03-27,159.89999389648438,138.57675170898438
2022-04-03,160.58999633789062,139.1747283935547
2022-04-10,169.89999389648438,147.2432098388672
2022-04-17,165.30999755859375,143.2653045654297
2022-04-24,162.1300048828125,140.50936889648438
2022-05-01,157.05999755859375,136.11546325683594
2022-05-08,156.94000244140625,136.01148986816406
2022-05-15,162.47000122070312,140.8040313720703
2022-05-22,157.9499969482422,136.88677978515625
2022-05-29,169.75,147.11322021484375
2022-06-05,177.4199981689453,153.76039123535156
2022-06-12,181.17999267578125,157.0189666748047
2022-06-19,185.0,160.32957458496094
2022-06-26,203.0,175.92919921875
2022-07-03,192.6999969482422,169.57029724121094
2022-07-10,189.89999389648438,167.10638427734375
2022-07-17,185.91000366210938,163.5952911376953
2022-07-24,178.39999389648438,156.98670959472656
2022-07-31,179.17999267578125,157.67308044433594
2022-08-07,178.6999969482422,157.25071716308594
2022-08-14,173.66000366210938,152.81565856933594
2022-08-21,170.10000610351562,149.68296813964844
2022-08-28,161.83999633789062,142.41441345214844
2022-09-04,161.4600067138672,142.0800323486328
2022-09-11,161.0800018310547,141.7456512451172
2022-09-18,159.1300048828125,140.02969360351562
2022-09-25,169.22999572753906,148.91738891601562
2022-10-02,169.22999572753906,148.91738891601562
2022-10-09,159.1199951171875,140.0208740234375
2022-10-16,152.14999389648438,133.8874969482422
2022-10-23,137.5,120.99594116210938
2022-10-30,150.0,131.99554443359375
2022-11-06,150.02000427246094,132.01316833496094
2022-11-13,153.61000061035156,135.17225646972656
2022-11-20,147.3800048828125,129.69004821777344
2022-11-27,163.05999755859375,143.48797607421875
2022-12-04,183.27000427246094,161.27218627929688
2022-12-11,182.52000427246094,160.61219787597656
2022-12-18,180.2899932861328,158.64987182617188
2022-12-25,180.69000244140625,159.00186157226562
2023-01-01,190.4600067138672,167.5991668701172
2023-01-08,198.5800018310547,174.74452209472656
2023-01-15,208.72000122070312,183.6674346923828
2023-01-22,208.72000122070312,183.6674346923828
2023-01-29,210.0,184.7937774658203
2023-02-05,204.6999969482422,180.12994384765625
2023-02-12,208.14999389648438,183.16583251953125
2023-02-19,201.10000610351562,176.96206665039062
2023-02-26,205.75999450683594,181.0626983642578
2023-03-05,195.24000549316406,171.805419921875
2023-03-12,188.5,165.87442016601562
2023-03-19,193.02000427246094,169.8518829345703
2023-03-26,197.0,173.3541717529297
2023-04-02,189.05999755859375,166.36720275878906
2023-04-09,175.58999633789062,154.51400756835938
2023-04-16,172.0,151.35491943359375
2023-04-23,169.0,148.7150115966797
2023-04-30,173.7100067138672,152.85963439941406
2023-05-07,169.3699951171875,149.0405731201172
2023-05-14,170.8000030517578,150.29893493652344
2023-05-21,170.10000610351562,149.68296813964844
2023-05-28,167.89999389648438,147.74703979492188
2023-06-04,164.58999633789062,144.83433532714844
2023-06-11,184.0800018310547,161.98495483398438
2023-06-18,171.39999389648438,150.826904296875
2023-06-25,163.57000732421875,143.936767578125
2023-07-02,163.66000366210938,147.36000061035156
2023-07-09,171.99000549316406,154.8603515625
2023-07-16,171.27000427246094,154.21205139160156
2023-07-23,181.17999267578125,163.13504028320312
2023-07-30,179.27999877929688,161.42428588867188
2023-08-06,172.36000061035156,155.19349670410156
2023-08-13,163.52999877929688,147.24293518066406
2023-08-20,161.5500030517578,145.4601287841797
2023-08-27,159.74000549316406,143.83041381835938
2023-09-03,161.9199981689453,145.7932891845703
2023-09-10,159.7100067138672,143.8033905029297
2023-09-17,159.9199981689453,143.9924774169922
2023-09-24,156.10000610351562,140.55294799804688
2023-10-01,156.10000610351562,140.55294799804688
2023-10-08,153.6300048828125,138.32894897460938
2023-10-15,143.6999969482422,129.38792419433594
2023-10-22,152.99000549316406,137.75270080566406
2023-10-29,159.6699981689453,143.76736450195312
2023-11-05,156.89999389648438,141.27325439453125
2023-11-12,155.0,139.56248474121094
2023-11-19,153.22999572753906,137.96878051757812
2023-11-26,147.2100067138672,132.54835510253906
2023-12-03,142.92999267578125,128.6946258544922
2023-12-10,133.6999969482422,120.38390350341797
2023-12-17,133.4199981689453,120.13178253173828
2023-12-24,140.30999755859375,126.33557891845703
2023-12-31,131.24000549316406,118.1689224243164
2024-01-07,128.75,115.9269027709961
2024-01-14,128.88999938964844,116.05297088623047
2024-01-21,131.0,117.95282745361328
2024-01-28,123.81999969482422,111.4879150390625
2024-02-04,133.58999633789062,120.28485870361328
2024-02-18,141.7100067138672,127.59614562988281
2024-02-25,142.58999633789062,128.38848876953125
2024-03-03,138.4199981689453,124.6338119506836
2024-03-10,152.49000549316406,137.302490234375
2024-03-17,153.42999267578125,138.1488494873047
2024-03-24,153.50999450683594,138.22088623046875
2024-03-31,154.60000610351562,139.20233154296875
2024-04-07,140.49000549316406,126.49765014648438
2024-04-14,142.89999389648438,128.66761779785156
2024-04-21,152.25,137.0863800048828
2024-04-28,150.42999267578125,135.4476318359375
2024-05-05,154.42999267578125,139.04925537109375
2024-05-12,156.41000366210938,140.83206176757812
2024-05-19,151.14999389648438,136.095947265625
2024-05-26,146.6999969482422,132.0891571044922
2024-06-02,142.33999633789062,128.1633758544922
2024-06-09,135.67999267578125,122.16669464111328
2024-06-16,130.1999969482422,117.23249053955078
2024-06-23,128.0399932861328,115.28761291503906
2024-06-30,128.9499969482422,116.10699462890625
2024-07-07,127.4000015258789,114.71136474609375
2024-07-14,133.4199981689453,124.59101104736328
2024-07-21,126.19999694824219,117.84879302978516
2024-07-28,123.69999694824219,115.51422882080078
2024-08-04,128.0800018310547,119.6043930053711
2024-08-11,125.01000213623047,116.737548828125
2024-08-18,121.11000061035156,113.09562683105469
2024-08-25,123.02999877929688,114.8885726928711
2024-09-01,117.52999877929688,109.75252532958984
2024-09-08,109.19999694824219,101.97376251220703
2024-09-15,110.27999877929688,102.98229217529297
2024-09-22,147.74000549316406,137.96340942382812
2024-09-29,162.50999450683594,151.75599670410156
2024-10-06,149.64999389648438,139.7469940185547
2024-10-13,143.0,133.5370635986328
2024-10-20,148.11000061035156,138.3089141845703
2024-10-27,147.9199981689453,138.13148498535156
2024-11-03,156.47000122070312,146.11570739746094
2024-11-10,151.2899932861328,141.27847290039062
2024-11-17,144.88999938964844,135.302001953125
2024-11-24,146.77000427246094,137.05758666992188
2024-12-01,146.44000244140625,136.7494354248047
2024-12-08,148.0399932861328,138.24356079101562
2024-12-15,143.2100067138672,133.73318481445312
2024-12-22,142.52000427246094,133.08883666992188
2024-12-29,135.39999389648438,126.43999481201172
2025-01-05,128.60000610351562,120.0899887084961
2025-01-12,132.3000030517578,123.5451431274414
2025-01-19,127.72000122070312,119.2682113647461
2025-01-26,127.19999694824219,121.1773452758789
2025-02-02,127.62999725341797,121.58699035644531
2025-02-09,131.22999572753906,125.01654052734375
2025-02-16,131.1199951171875,124.91175079345703
2025-02-23,131.5800018310547,125.34996795654297
2025-03-02,134.8000030517578,128.41751098632812
2025-03-09,140.8000030517578,134.1334228515625
2025-03-16,134.60000610351562,128.22698974609375
2025-03-23,133.22999572753906,126.92183685302734
2025-03-30,132.0,125.75007629394531
2025-04-06,131.60000610351562,125.3690185546875
2025-04-13,131.75,125.51191711425781
2025-04-20,129.0500030517578,122.93975830078125
2025-04-27,128.6999969482422,122.6063232421875
2025-05-04,131.5800018310547,125.34996795654297
2025-05-11,131.0800018310547,124.87364196777344
2025-05-18,128.14999389648438,122.08236694335938
2025-05-25,126.44000244140625,120.45333099365234
2025-06-01,125.08999633789062,119.16725158691406
2025-06-08,119.12000274658203,113.47991943359375
2025-06-15,119.55999755859375,113.89908599853516
2025-06-22,119.18000030517578,113.53707885742188
2025-06-29,120.38999938964844,114.68978881835938
2025-07-06,124.30000305175781,118.41465759277344
2025-07-13,123.77999877929688,117.91928100585938
2025-07-20,123.54000091552734,120.73148345947266
2025-07-27,121.0,118.24922180175781
2025-08-03,122.22000122070312,119.44149017333984
2025-08-10,123.0999984741211,120.30148315429688
2025-08-17,125.79000091552734,122.93032836914062
2025-08-24,129.52999877929688,126.5853042602539
2025-08-31,126.80999755859375,123.92713928222656
2025-09-07,127.19000244140625,124.29850769042969
2025-09-14,124.08000183105469,121.25920867919922
2025-09-21,120.16999816894531,117.4380874633789
2025-09-28,121.4800033569336,118.71831512451172
2025-10-05,120.7300033569336,117.98536682128906
2025-10-12,121.06999969482422,118.31763458251953
2025-10-19,120.29000091552734,117.55536651611328
2025-10-26,118.98999786376953,116.28491973876953
2025-11-02,116.75,114.09584045410156
2025-11-09,120.20999908447266,117.47718048095703
2025-11-16,119.68000030517578,116.95923614501953
2025-11-23,117.8499984741211,115.17082977294922
2025-11-30,114.95999908447266,112.3465347290039
2025-12-07,111.5999984741211,109.06291961669922
2025-12-14,110.52999877929688,108.01724243164062
2025-12-21,109.77999877929688,109.77999877929688
2025-12-28,105.94000244140625,105.94000244140625
2026-01-04,107.13999938964844,107.13999938964844
2026-01-11,105.16000366210938,105.16000366210938
2026-01-18,102.98999786376953,102.98999786376953
2026-01-25,105.0,105.0
2026-02-01,107.0,107.0
2026-02-08,106.05999755859375,106.05999755859375
2026-02-15,106.05999755859375,106.05999755859375
2026-02-22,104.05000305175781,104.05000305175781
2026-03-01,102.4000015258789,102.4000015258789
2026-03-08,102.94999694824219,102.94999694824219
2026-03-15,102.4000015258789,102.4000015258789
2026-03-20,102.4000015258789,102.4000015258789
