index,direction,is_sharpe,oos_sharpe,oos_trades,oos_pass_5trades,oos_pass_any
科创50,dip,0.5722849735246763,0.10691698501511814,22,True,True
科创50,dip,0.5455399799955981,0.11541537140520204,20,True,True
科创50,dip,0.5962112348941765,-0.2313683869134712,20,False,False
科创50,dip,0.5893597882362402,-0.23811107033655454,20,False,False
科创50,dip,0.5726227959997299,-0.05604893752202786,20,False,False
科创50,dip,0.502486079344416,-0.1179456931438752,19,False,False
科创50,dip,0.6690527866758829,-0.12964459909657655,19,False,False
科创50,dip,0.5545266978116044,-0.21440763116261344,19,False,False
科创50,dip,0.6777073777516991,-0.27087629017752646,19,False,False
科创50,dip,0.5371459925598583,0.4781895192200349,17,True,True
科创50,dip,0.5753060349413259,0.5573011532219829,17,True,True
科创50,dip,0.6052964242440775,0.6142756506047344,17,True,True
科创50,dip,0.6178387031977292,0.6095128489083266,17,True,True
科创50,dip,0.5024602847267758,0.16694101647433837,17,True,True
科创50,dip,0.5431284997382637,-0.050116484453178595,19,False,False
科创50,dip,0.6544423465458519,0.6254977424033376,17,True,True
科创50,dip,0.5401664895224972,0.21632517211982547,17,True,True
科创50,dip,0.5691881470933282,-0.04444426450866515,19,False,False
科创50,dip,0.6729379405562455,0.6395044376698559,17,True,True
科创50,dip,0.5588242430438033,0.2263672944938714,17,True,True
科创50,dip,0.5494556092376937,-0.21919146828950678,11,False,False
科创50,dip,0.7055690050602198,0.5478063457968472,17,True,True
科创50,dip,0.5936938010140173,0.1428434759235648,17,True,True
科创50,dip,0.5801113919094565,0.08969417272148862,11,True,True
科创50,dip,0.6640582257418626,0.20777300480250355,11,True,True
科创50,dip,0.8124268791055349,-0.13586553480971297,10,False,False
科创50,dip,0.6143747134887504,0.0100896422562878,10,True,True
科创50,dip,0.6681221364326062,-0.13586553480971297,10,False,False
科创50,dip,0.6681221364326062,-0.13586553480971297,10,False,False
科创50,dip,0.6297127463862247,0.521706126638666,10,True,True
科创50,dip,0.6151212473849571,0.5451567185730513,10,True,True
科创50,dip,0.5142805683089225,0.18686456292863793,10,True,True
科创50,dip,0.5142805683089225,0.5451567185730513,10,True,True
科创50,dip,0.5772899790572119,0.45463242584541197,10,True,True
科创50,dip,0.6540428038891425,0.18245092205662772,10,True,True
科创50,dip,0.7776981714329314,0.10560409891408566,10,True,True
科创50,dip,0.7776981714329314,0.45463242584541197,10,True,True
科创50,dip,0.529506195247496,0.2536002651702782,10,True,True
科创50,dip,0.5813780782344867,0.04503231894142661,10,True,True
科创50,dip,0.6621918046748475,-0.033528740378792214,10,False,False
科创50,dip,0.6621918046748475,0.2536002651702782,10,True,True
科创50,dip,0.6609461604066518,0.43582339677688675,10,True,True
科创50,dip,0.6422969581313615,0.1747207688299676,10,True,True
科创50,dip,0.7915517752744259,0.2257843146237793,10,True,True
科创50,dip,0.7915517752744259,0.45762877115057443,10,True,True
科创50,dip,0.542214022294769,0.4377508082070286,10,True,True
科创50,dip,0.5060094428452776,0.08497748237281383,10,True,True
科创50,dip,0.6338956025551762,0.1872694532279165,10,True,True
科创50,dip,0.6338956025551762,0.45856940561438186,10,True,True
科创50,dip,0.6056839015584559,0.4200973128912021,10,True,True
科创50,dip,0.5554670334825028,0.2209758270515733,10,True,True
科创50,dip,0.5554670334825028,0.47052966448727274,10,True,True
科创50,dip,0.6770607300795338,0.33098565629213855,10,True,True
科创50,dip,0.6560140133667866,0.20397093473931666,10,True,True
科创50,dip,0.7653470737614769,0.14142651126612168,9,True,True
科创50,dip,0.5098294578911815,-0.13350544568537273,10,False,False
科创50,dip,0.5098294578911815,0.10954582246408369,10,True,True
科创50,dip,0.8638341776682437,-0.038809043954660415,9,False,False
科创50,dip,0.5112438850420221,-0.11306881701804439,10,False,False
科创50,dip,0.6181640685507986,-0.27171268278136074,10,False,False
科创50,dip,0.6181640685507986,-0.08301151561514176,10,False,False
科创50,dip,0.7181668127585543,0.009663859876571573,9,True,True
科创50,dip,0.5566149396762436,-0.27021127164375486,10,False,False
科创50,dip,0.5566149396762436,-0.04598055900033413,10,False,False
科创50,dip,0.9025649830799396,0.18548895411547675,9,True,True
